Name,BuildingNumber,Street,Unit,Fraction,GeoArea,City,Zip,PlaceStatus,PlaceType,PlaceSubType,PrivateResidence,MappedYear,Note,PhoneNumber,Email,Geolocation,Lng,Lat,Website
Wash Town Coin Laundry,3701,W Lawrence Ave,,,,Chicago,,Active,Personal Service,"Laundry, tailor",No,2019,,773-463-3544,,POINT(-87.7209302199759 41.9682945142874),-87.72093022,41.96829451,
Washtown Equipment,4034,W Montrose Ave,,,,Chicago,,Active,Retail,Electronics & appliances,No,2019,,773-545-1353,,POINT(-87.7292806067175 41.9609805077916),-87.72928061,41.96098051,
"Washtown, U.S.A.",4038,W Montrose Ave,,,,Chicago,,Active,Personal Service,"Laundry, tailor",No,2019,,773-463-3544,,POINT(-87.729300555605 41.9609795331978),-87.72930056,41.96097953,
Wasio Photography,3318,W Wilson Ave,,,,Chicago,,Active,Trade Service,Photo studio,Yes,2019,Photo Stdios Prtrt,773-510-4474,,POINT(-87.7116230259471 41.9646995188242),-87.71162303,41.96469952,
We Wash,4660,W Lawrence Ave,,,,Chicago,,Active,Trade Service,Vehicle services,No,2019,Carwashes,773-286-5809,,POINT(-87.745211780022 41.9680614530403),-87.74521178,41.96806145,
Weezers Tabacco,4415,N Bernard St,,,,Chicago,,Active,Retail,Other,Yes,2019,Tobacco Strs Stand,630-335-2927,,POINT(-87.7143465130727 41.9616353606812),-87.71434651,41.96163536,
Wef Properties,4616,N Sacramento Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Property service office,No,2019,Nrsdntl Building Optrs,773-267-6624,,POINT(-87.7035194710928 41.9652536365256),-87.70351947,41.96525364,
Wendys,4412,N Pulaski Rd,,,,Chicago,,Active,Dining,Fast Food,No,2019,Eating Places,773-283-7687,,POINT(-87.7278674103502 41.9614182398681),-87.72786741,41.96141824,
West Lake Painting,4916,N Lowell Ave,,,,Chicago,,Active,Trade Service,"Copy, mail, and print shops",Yes,2019,Printing Paper Hangin,773-807-3490,,POINT(-87.7367584355691 41.9705278849465),-87.73675844,41.97052788,
West River Cafe,4400,N Kedzie Ave,,,,Chicago,,Active,Dining,Restaurant,No,2019,,773-866-2133,,POINT(-87.7082879100806 41.9614366588277),-87.70828791,41.96143666,
Western Union,4601,N Kedzie Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Other financial,No,2019,,773-583-9819,,POINT(-87.7083410454296 41.9649298638105),-87.70834105,41.96492986,
What2design,4427,N Francisco Ave,,,,Chicago,,Active,Trade Service,"Copy, mail, and print shops",Yes,2019,Bus  Services  Nec,773-343-4924,,POINT(-87.7009050133915 41.9620676121908),-87.70090501,41.96206761,
Wilco Helo,5077,N Kimberly Ave,,,,Chicago,,Active,"Wholesale, storage and transit",Wholesalers,Yes,2019,Constr Mtrls Nec,773-775-4057,,POINT(-87.7435216105947 41.9730623024636),-87.74352161,41.9730623,
William G. Hubbard Elementary School,3244,W Ainslie St,,,,Chicago,,Active,Childcare and Schools,Public school K-12,No,2019,Elementary Secondary School.,773-534-5191,,POINT(-87.71003985126 41.9703326711616),-87.71003985,41.97033267,
Window Installation,2846,W Montrose Ave,,,,Chicago,,Active,Trade Service,Building trades,No,2019,Lmbr Bldng Mtrls,773-279-8033,,POINT(-87.7003105280995 41.9612795190268),-87.70031053,41.96127952,
Windy City Darters,4469,N Elston Ave,,,,Chicago,,Out of Business,Arts and Entertainment,Other,No,2019,Membership Spt Rctn CL,773-202-1800,,POINT(-87.7316864845929 41.9623524572949),-87.73168648,41.96235246,
Wingstop,4445,N Pulaski Rd,,,,Chicago,60630,Active,Dining,Restaurant,No,2019,,872-208-3346,,POINT(-87.7273513 41.9619272),-87.7273513,41.9619272,
Wireless Spot,4004,W Montrose Ave,,,,Chicago,,Active,Retail,Electronics & appliances,No,2019,Radio Telephon Comm,773-777-2275,,POINT(-87.7282854835885 41.9610198502424),-87.72828548,41.96101985,
Wok Cuisine,4554,N Kedzie Ave,,,,Chicago,,Active,Dining,Restaurant,No,2019,Eating Places,773-588-8883,,POINT(-87.7083878844869 41.9642534912685),-87.70838788,41.96425349,
Wolftronics,3501,W Lawrence Ave,,,,Chicago,,Active,Retail,Electronics & appliances,No,2019,,773-941-6049,,POINT(-87.7161594974707 41.9683395140988),-87.7161595,41.96833951,
Woofer Electronics,4970,N Elston Ave,,,,Chicago,,Active,Trade Service,Other,No,2019,,773-283-8286,,POINT(-87.7448263030521 41.9708847101687),-87.7448263,41.97088471,
World Relief,3507,W Lawrence Ave,,,,Chicago,,Active,Social Services & Political Advocacy,Social service,Yes,2019,Religious Organizations,773-583-9191,,POINT(-87.7161535649965 41.9682958153778),-87.71615356,41.96829582,
World Tree Healing,4533,N Kedzie Ave,,,,Chicago,,Active,Religious (except school or residence),Other worship,No,2019,Ofcs Hlth Prnrs Ne,773-273-9718,,POINT(-87.7083066219879 41.9640035339916),-87.70830662,41.96400353,
World Trophy,4322,W Lawrence Ave,,,,Chicago,,Active,Retail,Other,No,2019,Misc Rtl Strs Nec,773-777-1392,,POINT(-87.7364242613851 41.9682141425173),-87.73642426,41.96821414,
Xpert Flood Control,3544,W Montrose Ave,,,,Chicago,,Active,Trade Service,Indoor service,No,2019,Wter Swer Util Ln,773-267-5000,,POINT(-87.7170711419569 41.9611688572919),-87.71707114,41.96116886,
XSport Fitness,4677,N Elston Ave,,,,Chicago,,Active,Fitness,Gym,No,2019,Physcl Ftnss Faclts,773-202-9800,,POINT(-87.7372068673724 41.9661265702772),-87.73720687,41.96612657,
Yasir Corporation Yahya Trading,4954,N Elston Ave,,,,Chicago,,Active,"Wholesale, storage and transit",Goods distribution,No,2019,Nondurable Gds Nec,773-478-5981,,POINT(-87.7443893211754 41.9706689633261),-87.74438932,41.97066896,
Yoo's Jewelry,4101,W Lawrence Ave,,,,Chicago,,Active,Retail,Beauty-Accessory,No,2019,Jwlry Prcious Stns,773-777-4567,,POINT(-87.730622025897 41.9681765397444),-87.73062203,41.96817654,
YosoCentral Buy Low Liquors,3360,W Montrose Ave,,,,Chicago,,Active,Retail,Liquor,No,2019,Liquor Stores,773-583-7188,,POINT(-87.7128717371926 41.9612152542173),-87.71287174,41.96121525,
Yummy Buffet,3925,W Lawrence Ave,,,,Chicago,,Active,Dining,Restaurant,No,2019,,773-539-3388,,POINT(-87.7266065314241 41.9681761516875),-87.72660653,41.96817615,
Zabiha Halal,4742,N Kedzie Ave,,,,Chicago,,Active,Retail,Other food,No,2019,,,,POINT(-87.70851779525 41.9677019997796),-87.7085178,41.967702,
Zafferano Cafe,4630,W Lawrence Ave,,,,Chicago,,Out of Business,Dining,Cafe-Bakery-Specialty,No,2019,Eating Places,773-853-2225,,POINT(-87.7441731703484 41.9680904858898),-87.74417317,41.96809049,
Zaidi Communications,4543,N Albany Ave,,,,Chicago,,Out of Business,Retail,Electronics & appliances,Yes,2019,Not a working phone,201-800-5775,,POINT(-87.7058481208032 41.9642244426433),-87.70584812,41.96422444,
Zero Electronics,4035,W Lawrence Ave,,,,Chicago,,Out of Business,Retail,Electronics & appliances,No,2019,Misc Rtl Strs Nec,773-685-7375,,POINT(-87.7294802204584 41.9681945393054),-87.72948022,41.96819454,
ZMH Express,4000,W Montrose Ave,,,,Chicago,,Active,"Wholesale, storage and transit",Goods distribution,No,2019,Transportation  Services Ne  PO Box,646-881-8735,,POINT(-87.7281621709511 41.9609715073267),-87.72816217,41.96097151,
Zoller,4542,N Drake Ave,,,,Chicago,,Out of Business,Trade Service,Equipment rental,Yes,2019,Indl McHnry Eqpt,312-925-4081,,POINT(-87.716910428861 41.9642094130188),-87.71691043,41.96420941,
Zuma Law,4336,W Lawrence Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Lawyer's office,No,2019,Legal  Services,708-667-0543,,POINT(-87.7369134443629 41.9681634606881),-87.73691344,41.96816346,
Zumba,3348,W Montrose Ave,,,,Chicago,60618,Unknown,Fitness,Weight loss,No,2019,No evidence of business,,,POINT(-87.7126145 41.9613701),-87.7126145,41.9613701,
ZWL Properties,5070,N Kimberly Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Property service office,No,2019,Nrsdntl Building Optrs,773-988-6624,,POINT(-87.7437648312545 41.9729256973838),-87.74376483,41.9729257,
55 Building Supply,4240,W 40th St,,,,Chicago,,Active,Trade Service,Building trades,No,2019,,773-475-0755,,POINT(-87.7300307 41.819588),-87.7300307,41.819588,
7-9-11 Food Mart,4884,S Archer Ave,FL 1,,,Chicago,,Active,Retail,Liquor,No,2019,,773-847-4660,,POINT(-87.7200481 41.8046487),-87.7200481,41.8046487,
A Lava & Son Company,4800,S Kilbourn Ave,,,,Chicago,,Active,Industrial,Parts,No,2019,,773-254-2800,,POINT(-87.7371164 41.8054193),-87.7371164,41.8054193,
A-1 Truck and Auto Supply,5165,S Archer Ave,,,,Chicago,,Active,Retail,Auto Supply,No,2019,,773-585-8400,,POINT(-87.7327157 41.8000731),-87.7327157,41.8000731,
A&B Heating Company,4115,W 47th St,,,,Chicago,,Active,Public Services,Utility-Gas,No,2019,,773-284-8582,,POINT(-87.7266121 41.807655),-87.7266121,41.807655,
AC Paint Master,5034,S Archer Ave,FL 2,,,Chicago,60632,Out of Business,Trade Service,Indoor service,Yes,2019,,773-284-1943,,POINT(-87.7254537 41.8015658),-87.7254537,41.8015658,
Accelerated Rehabilitation Centers,4412,S Pulaski Rd,,,,Chicago,,Active,Health Services,Therapy outpatient,No,2019,,773-847-3123,,POINT(-87.7242265 41.8128098),-87.7242265,41.8128098,Athletics.com
AccessorEZ Phone Repair,5014,S Pulaski Rd,,,,Chicago,,Active,Trade Service,Tech service,No,2019,,773-305-5767,,POINT(-87.7238277 41.8017614),-87.7238277,41.8017614,
Advance Auto Parts,4625,S Pulaski Rd,,,,Chicago,,Active,Retail,Auto Supply,No,2019,,773-254-2940,,POINT(-87.7232261 41.8089857),-87.7232261,41.8089857,
Advanced Amusement,5210,S Archer Ave,,,,Chicago,60632,Out of Business,"Wholesale, storage and transit",Wholesalers,No,2019,,773-735-7437,,POINT(-87.7349413 41.8001515),-87.7349413,41.8001515,
Agrow Fresh Produce,4540,S Kolmar Ave,,,,Chicago,,Active,"Wholesale, storage and transit",Wholesalers,No,2019,,773-254-2600,,POINT(-87.7376479 41.811153),-87.7376479,41.811153,
Alberto Tailor Shop,4715,S Kilbourn Ave,,,,Chicago,,Unknown,Personal Service,"Laundry, tailor",Yes,2019,No evidence of business,,,POINT(-87.7355162 41.807245),-87.7355162,41.807245,
Aldi,4501,S Pulaski Rd,,,,Chicago,,Active,Retail,Small Grocery,No,2019,,833-462-3010,,POINT(-87.7233506 41.8112655),-87.7233506,41.8112655,
Alicia Plonka Attorney,4111,W 47th St,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Lawyer's office,No,2019,,773-376-1301,,POINT(-87.7265447 41.8076634),-87.7265447,41.8076634,
All In Recovery,3859,W 47th St,,,,Chicago,60632,Out of Business,Social Services & Political Advocacy,Social service,Yes,2019,,,,POINT(-87.7209174 41.8076978),-87.7209174,41.8076978,
All New Season Heating & Air,5229,S Kolmar Ave,,,,Chicago,,Active,Trade Service,Building trades,Yes,2019,,773-986-2429,,POINT(-87.7364474 41.7976994),-87.7364474,41.7976994,
Allstate Insurance,5102,S Archer Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Insurance agency,No,2019,,773-735-0348,,POINT(-87.7291704 41.8010466),-87.7291704,41.8010466,
Allstyle Buffet,4305,S Pulaski Rd,,,,Chicago,,Active,Dining,Restaurant,No,2019,,773-927-6888,,POINT(-87.7238022040078 41.8147479030143),-87.7238022,41.8147479,
Alvarado Auto Repair,4200,W 47th St,,,,Chicago,,Active,Trade Service,Vehicle services,No,2019,,773-603-1393,,POINT(-87.7288436 41.8081648),-87.7288436,41.8081648,
American Nameplate,4501,S Kildare Ave,,,,Chicago,,Active,Industrial,Finished goods,No,2019,,773-379-1400,,POINT(-87.7308833 41.8108133),-87.7308833,41.8108133,
Amity Packing Company,4220,S Kildare Ave,,,,Chicago,,Active,"Wholesale, storage and transit",Goods distribution,No,2019,,773-475-9398,,POINT(-87.7316169 41.815751),-87.7316169,41.815751,
Amplate,3941,S Keeler Ave,,,,Chicago,,Active,Industrial,Parts,No,2019,,773-890-4907,,POINT(-87.727684 41.821056),-87.727684,41.821056,
Angelos Stuffed Pizza,4850,S Pulaski Rd,,,,Chicago,,Active,Dining,Restaurant,No,2019,,773-927-9355,,POINT(-87.7237971 41.8045611),-87.7237971,41.8045611,
Angels & Kings Collective Tattoo Studio,5058,S Archer Ave,,,,Chicago,,Active,Personal Service,Body art,No,2019,,773-306-1183,Angelsandkindscollective@gmail.com,POINT(-87.7266924247383 41.8012033182339),-87.72669242,41.80120332,
Apostolic Assembly Of Faith,4724,S Kedvale Ave,,,,Chicago,,Active,Religious (except school or residence),Church,No,2019,,773-847-9901,,POINT(-87.7274778 41.8070315),-87.7274778,41.8070315,
Archer Dental Care,5200,S Archer Ave,3,,,Chicago,,Active,Health Services,Dentist,No,2019,,773-581-1345,,POINT(-87.734768 41.8002074),-87.734768,41.8002074,
Archer Heights Civic Association,4444,S Pulaski Rd,2,,,Chicago,,Active,Social Services & Political Advocacy,Advocacy,No,2019,,773-843-2232,,POINT(-87.7239957 41.8118736),-87.7239957,41.8118736,
Archer Heights Family Dentistry,4604,S Pulaski Rd,,,,Chicago,,Out of Business,Health Services,Dentist,No,2019,,773-376-1111,,POINT(-87.7240359 41.8093865),-87.7240359,41.8093865,
Archer Transmission Specialists,4825,S Archer Ave,,,,Chicago,,Active,Trade Service,Vehicle services,No,2019,,773-890-0808,,POINT(-87.7176998 41.8055877),-87.7176998,41.8055877,
AT&T,4110,S Pulaski Rd,,,,Chicago,,Active,Retail,Phones,No,2019,,773-245-4147,,POINT(-87.7242139 41.8176848),-87.7242139,41.8176848,
ATI Physical Therapy,4307,S Pulaski Rd,,,,Chicago,,Active,Health Services,Therapy outpatient,No,2019,,773-916-4673,,POINT(-87.7224616 41.8141929),-87.7224616,41.8141929,atipt.com
Avocet Polymer Technologies,4047,W 40th St,,,,Chicago,,Active,Other,Research body,No,2019,,773-523-2872,,POINT(-87.7259238 41.8191432),-87.7259238,41.8191432,
Aztecas,4853,S Archer Ave,,,,Chicago,,Active,Trade Service,Vehicle services,No,2019,,773-523-2700,,POINT(-87.7187817 41.8047244),-87.7187817,41.8047244,
Bagcraft Papercon,3900,S Pulaski Rd,,,,Chicago,,Active,Industrial,Finished goods,No,2019,No phone number,,,POINT(-87.724665 41.82201),-87.724665,41.82201,
Bak Fashion,5144,S Archer Ave,,,,Chicago,,Active,Retail,Clothing,No,2019,,,,POINT(-87.731525 41.8006707),-87.731525,41.8006707,
Barber Shop,4107,W 47th St,,,,Chicago,,Active,Personal Service,Beauty,No,2019,,312-972-7582,,POINT(-87.7263798038329 41.8078035066276),-87.7263798,41.80780351,
Barron Tax Service,4106,W 47th St,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,No,2019,Cell: 847-915-1525,773-890-0300,Gerardobarron@yahoo.com,POINT(-87.7264101 41.8079293),-87.7264101,41.8079293,
Bay Valley Foods,4401,W 44th Pl,,,,Chicago,,Active,Industrial,Food processing plant,No,2019,,773-927-7700,,POINT(-87.7346558 41.8128244),-87.7346558,41.8128244,
Bichito,5027,S Keeler Ave,,,,Chicago,60632,Out of Business,Unknown,Unknown,Yes,2019,,,,POINT(-87.7279875 41.8014605),-87.7279875,41.8014605,
Big Reds Pressure Wash,4606,S Springfield Ave,,,,Chicago,,Active,Trade Service,Vehicle services,Yes,2019,,,,POINT(-87.721408 41.8094836),-87.721408,41.8094836,
Blackhawk Steel,4500,W 47th St,,,,Chicago,,Active,"Wholesale, storage and transit",Warehouse,No,2019,,773-778-4100,,POINT(-87.736734 41.808458),-87.736734,41.808458,
"Blanca Murillo, DDS",5036,S Archer Ave,,,,Chicago,,Active,Health Services,Dentist,No,2019,,773-424-5759,,POINT(-87.7254958445254 41.8013743183423),-87.72549584,41.80137432,blancamurillo.com
Blue Kangaroo Lavanderia,4550,S Pulaski Rd,,,,Chicago,,Active,Personal Service,"Laundry, tailor",No,2019,,773-847-6371,,POINT(-87.7239572 41.809893),-87.7239572,41.809893,bluekangaroolaundromat.com
BNSF Corwith,3611,W 38th St,FL 41642,,,Chicago,,Active,"Wholesale, storage and transit",Goods distribution,No,2019,Freight yard,,,POINT(-87.716301 41.82314),-87.716301,41.82314,
Bond,4237,W 42nd Pl,,,,Chicago,,Active,Industrial,Finished goods,No,2019,,312-226-5535,,POINT(-87.7303407 41.8158452),-87.7303407,41.8158452,
Bond Corporation,4237,W Ann Lurie Pl,,,,Chicago,,Active,"Wholesale, storage and transit",Warehouse,No,2019,,312-226-5553,,POINT(-87.7303143 41.8157725),-87.7303143,41.8157725,
Boost Mobile,4900,S Archer Ave,,,,Chicago,,Active,Retail,Phones,No,2019,,773-767-3600,,POINT(-87.7209957 41.8040567),-87.7209957,41.8040567,
Botanica Apostol San Judas,5091,S Archer Ave,,,,Chicago,,Active,Retail,Small mixed,No,2019,,773-284-7268,,POINT(-87.7286234 41.800718),-87.7286234,41.800718,
BP,4540,S Pulaski Rd,,,,Chicago,,Active,Retail,Gas station,No,2019,,773-847-6908,,POINT(-87.7240257 41.8105408),-87.7240257,41.8105408,
BP,4710,S Archer Ave,,,,Chicago,,Active,Retail,Gas station,No,2019,,773-376-5656,,POINT(-87.7154863646754 41.8072068728867),-87.71548636,41.80720687,
Br Transportation 1,4530,S Springfield Ave,,,,Chicago,60632,Out of Business,"Wholesale, storage and transit",Moving and storage,Yes,2019,,312-731-2805,,POINT(-87.7214753 41.810601),-87.7214753,41.810601,
Brighton Home Products,4607,S Pulaski Rd,,,,Chicago,,Active,Retail,Housewares & furnishings,No,2019,,773-254-1800,,POINT(-87.7232261 41.8093739),-87.7232261,41.8093739,
Burger King,4060,S Pulaski Rd,,,,Chicago,,Active,Dining,Fast Food,No,2019,,773-843-0144,,POINT(-87.7242902 41.8186943),-87.7242902,41.8186943,
Burrito Grande,5108,S Archer Ave,,,,Chicago,,Active,Dining,Restaurant,No,2019,,773-581-8898,,POINT(-87.7296708 41.8009404),-87.7296708,41.8009404,
Byline Bank,4872,S Archer Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Bank,No,2019,,773-475-5090,,POINT(-87.7198263 41.8048279),-87.7198263,41.8048279,
Byline Bank,4970,S Archer Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Bank,No,2019,,773-884-4346,,POINT(-87.7226903 41.8031558),-87.7226903,41.8031558,
C-Link International Trade,3801,W 44th St,,,,Chicago,,Active,"Wholesale, storage and transit",Goods distribution,No,2019,,773-351-0480,,POINT(-87.7198053 41.8129165),-87.7198053,41.8129165,
Caldwell Letter Service,4500,S Kolin Ave,Ste 1,,,Chicago,,Active,Trade Service,"Copy, mail, and print shops",No,2019,,773-847-0708,,POINT(-87.7336638 41.8109104),-87.7336638,41.8109104,
Carlton Inn Midway,4944,S Archer Ave,,,,Chicago,,Active,Service or Programmed Residential Space,Hotel,No,2019,,773-582-0900,,POINT(-87.7215551204269 41.8034919057306),-87.72155512,41.80349191,
Carmen Family Beauty Salon,4153,W 47th St,,,,Chicago,,Active,Personal Service,Beauty,No,2019,,773-843-0868,,POINT(-87.7280549 41.8077028),-87.7280549,41.8077028,
Carpet Showcase Distributor,4420,S Tripp Ave,,,,Chicago,,Out of Business,Retail,Housewares & furnishings,No,2019,"People were standing in front of the property, so we couldn’t take a photograph.",,,POINT(-87.7302649 41.8128151),-87.7302649,41.8128151,
Carter's,4144,S Pulaski Rd,2,,,Chicago,,Active,Retail,Clothing,No,2019,,,,POINT(-87.7256117 41.8172623),-87.7256117,41.8172623,Carters.com
Casa Express Real Estate Corporation,4144,W 47th St,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Property service office,No,2019,,773-247-8761,,POINT(-87.7277856 41.8080081),-87.7277856,41.8080081,
Castillo Brothers Enterprises,4269,W 42nd Pl,,,,Chicago,,Active,"Wholesale, storage and transit",Wholesalers,No,2019,,773-927-8675,,POINT(-87.7310316 41.8159372),-87.7310316,41.8159372,
Castillo Brothers Enterprises,4269,W Ann Lurie Pl,,,,Chicago,,Active,"Wholesale, storage and transit",Wholesalers,No,2019,,773-927-8675,,POINT(-87.7310085 41.8157029),-87.7310085,41.8157029,
CDL Trucking Driving School,5028,S Archer Ave,,,,Chicago,,Active,Childcare and Schools,Trade school,No,2019,,773-735-1775,,POINT(-87.7251692 41.8015893),-87.7251692,41.8015893,
Celebrity Limousine Service I,5189,S Archer Ave,,,,Chicago,60632,Out of Business,"Wholesale, storage and transit","Taxi, limo and similar",Yes,2019,,,,POINT(-87.7340564 41.799823),-87.7340564,41.799823,
Celina's Delicatessen,5089,S Archer Ave,,,,Chicago,,Active,Retail,Other food,No,2019,"People out front, no picture",773-582-5759,,POINT(-87.7284589 41.8007029),-87.7284589,41.8007029,
Central Trucking Company,3801,W 44th St,,,,Chicago,,Active,"Wholesale, storage and transit",Goods distribution,No,2019,,773-523-2920,,POINT(-87.7198053 41.8129165),-87.7198053,41.8129165,
Century Heating & Cooling,4627,S Harding Ave,1,,,Chicago,,Active,Trade Service,Building trades,Yes,2019,,773-523-8433,,POINT(-87.722091 41.8089051),-87.722091,41.8089051,
Century Real Estate,5036,S Archer Ave,,,,Chicago,60632,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Property service office,No,2019,,773-852-6791,,POINT(-87.725554 41.8015969),-87.725554,41.8015969,
Chase Bank,4455,S Pulaski Rd,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Bank,No,2019,,,,POINT(-87.7230722 41.811933),-87.7230722,41.811933,
Chi City Towing,4800,S Pulaski Rd,,,,Chicago,,Active,"Wholesale, storage and transit",Towing,Yes,2019,Photo needed. JC 8-2,773-470-6552,,POINT(-87.7286705 41.8048421),-87.7286705,41.8048421,
Chica's Nutrition,5050,S Kolin Ave,,,,Chicago,60632,Out of Business,Fitness,Weight loss,No,2019,,,,POINT(-87.7321259 41.8006839),-87.7321259,41.8006839,
Chicago American Manufacturing,4500,W 47th St,,,,Chicago,,Active,Industrial,Finished goods,No,2019,,773-376-0100,,POINT(-87.736734 41.808458),-87.736734,41.808458,
Chicago Car Keys,4346,W 51st St,,,,Chicago,,Active,Retail,Other,No,2019,,,,POINT(-87.7326181 41.8006331),-87.7326181,41.8006331,
Chicago Electrical Trauma Rehabilitation Institution,4047,W 40th St,,,,Chicago,,Active,Health Services,Therapy outpatient,No,2019,,773-904-0347,,POINT(-87.7259238 41.8191432),-87.7259238,41.8191432,cetri.org
Chicago Fire Department,4034,W 47th St,,,,Chicago,,Active,Public Services,City Fire Station,No,2019,,312-745-3705,,POINT(-87.7250345 41.8076331),-87.7250345,41.8076331,
Chicago Immigration Law Offices,4322,S Pulaski Rd,,,,Chicago,60632,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Lawyer's office,No,2019,Phone number works but is no longer at location,773-940-1230,,POINT(-87.724303 41.8145148),-87.724303,41.8145148,
Chicago Industrial Catalytic,4427,W 45th St,,,,Chicago,,Active,Trade Service,Disposal,No,2019,,773-247-9550,,POINT(-87.7342736 41.8108913),-87.7342736,41.8108913,
Chicago Midway,4433,S Springfield Ave,,,,Chicago,,Active,"Wholesale, storage and transit",Public transit,No,2019,Phone number listed disconnected. No signage. No web presence.,773-696-9152,,POINT(-87.7205029 41.8122339),-87.7205029,41.8122339,
Chicago Off-Road,4723,S Harding Ave,,,,Chicago,,Unknown,Trade Service,Building trades,Yes,2019,,,,POINT(-87.7220141 41.8071177),-87.7220141,41.8071177,
Chicago Park District - Archer Park Fieldhouse,4901,S Kilbourn Ave,,,,Chicago,,Active,Fitness,Gym,No,2019,,773-284-7029,,POINT(-87.7356277 41.8039647),-87.7356277,41.8039647,
Chicago Public Library - Archer Heights Branch,5055,S Archer Ave,,,,Chicago,,Active,Public Services,Library,No,2019,,312-747-9241,,POINT(-87.7266121 41.8008995),-87.7266121,41.8008995,
Chicago Public Schools - Marie Sklodowska Curie Metropolitan High School,4959,S Archer Ave,,,,Chicago,,Active,Childcare and Schools,Public school K-12,No,2019,,773-535-2100,,POINT(-87.721707 41.8022402),-87.721707,41.8022402,
Chicago Public Schools - Richard Edwards Elementary School,4815,S Karlov Ave,,,,Chicago,,Active,Childcare and Schools,Public school K-12,No,2019,,773-535-4875,,POINT(-87.7255365 41.8053759),-87.7255365,41.8053759,
Chicago Seafood,4433,W Ann Lurie Pl,,,,Chicago,,Active,"Wholesale, storage and transit",Wholesalers,No,2019,,773-254-4700,,POINT(-87.7349041 41.8158187),-87.7349041,41.8158187,
Chicago Sports Bar & Grill,4335,W 47th St,,,,Chicago,,Active,Dining,Restaurant,No,2019,,773-254-1577,,POINT(-87.7323132 41.8076158),-87.7323132,41.8076158,
Chicago's Seafood and Restaurant Supply,4433,W 42nd Pl,,,,Chicago,,Active,Industrial,Food processing plant,No,2019,,773-254-4700,,POINT(-87.7349028 41.8157682),-87.7349028,41.8157682,
Choctaw Kaul Distribution,4455,W 45th St,,,,Chicago,,Active,Retail,Other,No,2019,,773-640-5031,,POINT(-87.7355841021341 41.8112945742403),-87.7355841,41.81129457,
Choctaw-Kaul Distribution Company,4500,S Kolin Ave,,,,Chicago,,Active,"Wholesale, storage and transit",Goods distribution,No,2019,,773-640-5031,,POINT(-87.7336638 41.8109104),-87.7336638,41.8109104,
Christine Jost,4327,S Keeler Ave,,,,Chicago,,Unknown,Trade Service,Animal care,Yes,2019,,,,POINT(-87.7283682 41.8142714),-87.7283682,41.8142714,
Chuangyi Metal Corporation,3939,S Karlov Ave,,,,Chicago,,Active,Industrial,Parts,No,2019,,773-254-7878,,POINT(-87.7253165 41.821307),-87.7253165,41.821307,
Church of St Richard,5032,S Kostner Ave,,,,Chicago,,Active,Religious (except school or residence),Church,No,2019,,773-585-1221,,POINT(-87.7334421 41.8013302),-87.7334421,41.8013302,
Chyba Electric,4848,S Harding Ave,,,,Chicago,,Active,Trade Service,Building trades,Yes,2019,,773-523-7767,,POINT(-87.7225143 41.8046041),-87.7225143,41.8046041,
Citgo,4319,W 47th St,,,,Chicago,,Active,Retail,Gas station,No,2019,,773-247-7999,,POINT(-87.7317098 41.8075807),-87.7317098,41.8075807,
Clippers Barber Shop,3907,W 47th St,,,,Chicago,,Active,Personal Service,Beauty,No,2019,,773-847-3437,,POINT(-87.7214369 41.8077275),-87.7214369,41.8077275,
Club Karlov Bar,4058,W 47th St,,,,Chicago,,Active,Dining,Bar-grill,No,2019,,773-936-0033,,POINT(-87.7258426 41.8081057),-87.7258426,41.8081057,
CNN's Nails,5000,S Archer Ave,,,,Chicago,,Active,Personal Service,Beauty,No,2019,,773-838-8883,,POINT(-87.724218 41.802103),-87.724218,41.802103,
Combined Sales Company,4419,S Tripp Ave,,,,Chicago,,Active,"Wholesale, storage and transit",Wholesalers,No,2019,,773-376-7600,,POINT(-87.7294987 41.8126467),-87.7294987,41.8126467,
Comfort Zone Cooling & Heating,5230,S Kilbourn Ave,,,,Chicago,60632,Out of Business,Trade Service,Building trades,Yes,2019,,773-306-2599,,POINT(-87.7359097 41.7976135),-87.7359097,41.7976135,
Computer Prodigies,5032,S Archer Ave,FL 1,,,Chicago,60632,Out of Business,Retail,Electronics & appliances,No,2019,,773-216-0656,,POINT(-87.7253835 41.8015951),-87.7253835,41.8015951,
