Name,BuildingNumber,Street,Unit,Fraction,GeoArea,City,Zip,PlaceStatus,PlaceType,PlaceSubType,PrivateResidence,MappedYear,Note,PhoneNumber,Email,Geolocation,Lng,Lat,Website
Custom Matrix,5504,W Berteau Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Other professional,Yes,2019,Professional Organizations,773-283-0142,,POINT(-87.764961525411 41.9568764858869),-87.76496153,41.95687649,
CVS Pharmacy,3615,N Central Ave,,,,Chicago,,Active,Retail,Drug,No,2019,Drug Proprietry St,773-283-2355,,POINT(-87.7667346228138 41.9463819531918),-87.76673462,41.94638195,
CVS Pharmacy,4777,N Milwaukee Ave,,,,Chicago,,Active,Retail,Drug,No,2019,Drug Proprietry St,773-205-3270,,POINT(-87.7603488498019 41.9674471388072),-87.76034885,41.96744714,
Cwbm Enterprises,5330,W Belle Plaine Ave,,,,Chicago,,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,Yes,2019,Bus  Services  Nec,773-919-1907,,POINT(-87.7609836928064 41.9550944860751),-87.76098369,41.95509449,
Cyber Mobile & Wireless,3211,N Central Ave,,,,Chicago,,Active,Trade Service,Tech service,No,2019,,312-315-1760,,POINT(-87.7664516256515 41.9388826124336),-87.76645163,41.93888261,
Cyc Accountancy,4252,N Cicero Ave,,,,Chicago,,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,No,2019,Acctng Audtng Bkp,773-336-2789,,POINT(-87.7474993955886 41.9586021304607),-87.7474994,41.95860213,
D & A Motor Sales,3655,N Cicero Ave,,,,Chicago,,Active,Retail,Car-truck-motorcycle,No,2019,Used Car Dealers,773-628-7664,,POINT(-87.747105622677 41.9477672828462),-87.74710562,41.94776728,
D'ore Photo Lab,5234,W Belmont Ave,,,,Chicago,,Active,Trade Service,Photo studio,No,2019,,773-334-3786,,POINT(-87.7580905282968 41.9387045117328),-87.75809053,41.93870451,
D’Absolute Caterers,5106,W Irving Park Rd,,,,Chicago,,Active,Dining,Fast Food,No,2019,Eating Places,773-282-6106,,POINT(-87.7550806672418 41.9533544786063),-87.75508067,41.95335448,
D&L Apparel,4645,N Milwaukee Ave,,,,Chicago,,Active,"Wholesale, storage and transit",Wholesalers,No,2019,Wmns Cldrns Clthng,773-736-0855,,POINT(-87.7583604675481 41.9651571881903),-87.75836047,41.96515719,
D&L Cleaning Services,4756,N Milwaukee Ave,,,,Chicago,,Out of Business,Trade Service,Disposal,No,2019,Bldng Maint Svc Ne,773-283-4333,,POINT(-87.7600156871209 41.9669239784887),-87.76001569,41.96692398,
Dad Construction,5642,W Melrose St,,,,Chicago,,Out of Business,Trade Service,Building trades,Yes,2019,Sngl-Fam Hsng Cnstr,773-780-7672,,POINT(-87.7681528326787 41.9394974860282),-87.76815283,41.93949749,
Dahlia Blooms,5848,W Irving Park Rd,,,,Chicago,,Active,Trade Service,Florist,No,2019,,773-777-1977,,POINT(-87.7737100284185 41.9531185300927),-87.77371003,41.95311853,
Dairy Queen,5636,W Irving Park Rd,,,,Chicago,,Active,Dining,Fast Food,No,2019,Eating Places,773-282-6155,,POINT(-87.7684521764841 41.9532348409675),-87.76845218,41.95323484,
Daisy's,4764,W Belmont Ave,,,,Chicago,60641,Active,Personal Service,Beauty,No,2019,,773-427-0282,,POINT(-87.7463962 41.9390066),-87.7463962,41.9390066,
Dan M. Productions,5818,W Patterson Ave,,,,Chicago,,Active,Trade Service,Media,Yes,2019,Mtn Pctre Vdeo Pro,773-580-1647,,POINT(-87.7724633608402 41.9467625189113),-87.77246336,41.94676252,
Dan Mathews,5811,W Byron St,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Other financial,Yes,2019,Prsnl Crdt Instutns,312-204-9132,,POINT(-87.7724232483679 41.951240488274),-87.77242325,41.95124049,
Dancers Delight Dance Studio,4704,W Patterson Ave,,,,Chicago,,Out of Business,Arts and Entertainment,Performers & arts instructors,Yes,2019,,773-685-5415,,POINT(-87.7448603608795 41.947074511874),-87.74486036,41.94707451,
Dannys Floor Covering,5647,W Berenice Ave,,,,Chicago,,Active,Trade Service,Building trades,Yes,2019,Homefurnishings,773-685-5905,,POINT(-87.7687604998492 41.950376488173),-87.7687605,41.95037649,
Darius Family Hair Care,4354,N Central Ave,,,,Chicago,,Active,Personal Service,Beauty,No,2019,,773-930-3768,,POINT(-87.7673011058218 41.9602736461214),-87.76730111,41.96027365,
Daro Mechanical,5332,W Roscoe St,,,,Chicago,,Active,Trade Service,Building trades,Yes,2019,Plbng Htng Air-Co,773-595-8482,,POINT(-87.7606008056795 41.9423324858435),-87.76060081,41.94233249,
Darpol Trucking,4152,N Moody Ave,,,,Chicago,,Active,"Wholesale, storage and transit",Moving and storage,Yes,2019,Lcl Trckg W/O Strge.,773-715-7953,,POINT(-87.7806094428385 41.9563606586468),-87.78060944,41.95636066,
David L. Fishman,5600,W Addison St,,,,Chicago,,Active,Health Services,Out-patient,No,2019,Ofcs Clns of Mdl D,773-282-3311,,POINT(-87.7668303320191 41.9459448320839),-87.76683033,41.94594483,
Davis Audio and Video,5015,W Lawrence Ave,,,,Chicago,,Active,Trade Service,Media,No,2019,Misc Rtl Strs Nec,312-848-7172,,POINT(-87.753262164493 41.9679365464481),-87.75326216,41.96793655,
De Colores Home Daycare,5214,W Roscoe St,,,,Chicago,,Active,Childcare and Schools,Home daycare,Yes,2019,Child Day Care Services,773-577-4223,,POINT(-87.757514193465 41.9423574531649),-87.75751419,41.94235745,
De Mucho Gusto Taqueria,5606,W Irving Park Rd,,,,Chicago,,Active,Dining,Restaurant,No,2019,Eating Places,773-777-5740,,POINT(-87.7672946999355 41.9532483239295),-87.7672947,41.95324832,
Debt Care Financial Group,3511,N Central Ave,,,,Chicago,,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Other financial,No,2019,Investment Advice,773-403-4404,,POINT(-87.7666761227258 41.9444372830336),-87.76667612,41.94443728,
Deja Vu Smoke N Vape,4262,N Milwaukee Ave,,,,Chicago,,Active,Retail,Other,No,2019,,773-283-7161,,POINT(-87.7528201206097 41.9586152769451),-87.75282012,41.95861528,
"Del Campo Danilo V., MD Chicago Skin Clinic",5440,W Belmont Ave,,,,Chicago,,Active,Health Services,Out-patient,No,2019,Ofcs Clns of Mdl D,773-286-8111,,POINT(-87.7632341962737 41.9386314530817),-87.7632342,41.93863145,
Delicias Crucita,3810,N Central Ave,,,,Chicago,,Active,Dining,Restaurant,No,2019,,773-266-7296,,POINT(-87.7669474426877 41.9499265494993),-87.76694744,41.94992655,
Delphi Express,4042,N Parkside Ave,,,,Chicago,,Active,Trade Service,Vehicle services,Yes,2019,Mtr Vhcle Prts Acc,773-544-6606,,POINT(-87.7682799613594 41.9544718010042),-87.76827996,41.9544718,
Delta Auto Service,5802,W Irving Park Rd,,,,Chicago,,Active,Trade Service,Vehicle services,No,2019,Gnrl Atmtve RPR Shp,773-777-6460,,POINT(-87.7720387730195 41.9531954322481),-87.77203877,41.95319543,
"Dennis A. Parker, CPA",5439,W Lawrence Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,No,2019,Acctng Audtng Bkp,773-202-1000,,POINT(-87.7641056159982 41.9676752850943),-87.76410562,41.96767529,
Dennis Pa Samba Dance Studio,4429,N Milwaukee Ave,,,,Chicago,,Out of Business,Arts and Entertainment,Unknown,No,2019,"Number disconnected, no recent online activity",773-491-4091,,POINT(-87.7551926629032 41.9615408513633),-87.75519266,41.96154085,
Dental Clinic Family Dentistry,5650,W Lawrence Ave,,,,Chicago,,Active,Health Services,Dentist,No,2019,,773-427-1310,,POINT(-87.7695169 41.9678755),-87.7695169,41.9678755,
Dental Masters,5236,W Belmont Ave,,,,Chicago,,Out of Business,Health Services,Dentist,No,2019,Ofcs Clns of Dntst,773-231-0220,,POINT(-87.7582030288114 41.938705485999),-87.75820303,41.93870549,
Dental Office,5743,W Lawrence Ave,,,,Chicago,,Active,Health Services,Dentist,No,2019,Mar?a Sofil,773-777-1627,,POINT(-87.7716080254509 41.9676915141484),-87.77160803,41.96769151,
DentalWorks,4066,N Milwaukee Ave,,,,Chicago,60641,Active,Health Services,Dentist,No,2019,,773-541-8137,,POINT(-87.749834 41.9545077),-87.749834,41.9545077,
Dentist,4044,N Milwaukee Ave,,,,Chicago,,Active,Health Services,Dentist,No,2019,Ofcs Clns of Dntst,773-545-4324,,POINT(-87.7487431238792 41.9541874811742),-87.74874312,41.95418748,
Design By Daniel Helm,5626,W Cornelia Ave,,,,Chicago,,Active,Trade Service,Tech service,Yes,2019,Bus  Services  Nec,773-351-9694,,POINT(-87.7678111674435 41.9440505115494),-87.76781117,41.94405051,www.design-bydh.com
Destouni Investments,4525,N Moody Ave,,,,Chicago,,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,Yes,2019,Investors Nec. Wrong phone number.,708-668-2107,,POINT(-87.7807440967063 41.9628600313869),-87.7807441,41.96286003,
Dev Medical Associates,5600,W Addison St,,,,Chicago,,Active,Health Services,Out-patient,No,2019,Ofcs Clns of Mdl D,773-283-2448,,POINT(-87.7668303320191 41.9459448320839),-87.76683033,41.94594483,
Developing World Gallery Studios,4041,N Lawler Ave,,,,Chicago,,Out of Business,Retail,Gift-art-ethnic,Yes,2019,Misc Prsnl Services Ne,708-601-6664,,POINT(-87.7534740968315 41.9546080895822),-87.7534741,41.95460809,
Dgp Architecture,4585,N Moody Ave,,,,Chicago,,Active,Trade Service,Building trades,Yes,2019,Architectural Services. phone goes to vm; mentions business.,847-815-2591,,POINT(-87.7807835381372 41.9645070311196),-87.78078354,41.96450703,
Dhk Enterprises,4928,W Berenice Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Insurance agency,Yes,2019,Insurance Agnts Sv,773-286-4394,,POINT(-87.7509716123338 41.9506494606936),-87.75097161,41.95064946,
Di's Den,5100,W Irving Park Rd,,,,Chicago,,Active,Dining,Bar-grill,No,2019,Drinking Places,773-736-7170,,POINT(-87.7549132769684 41.9533544786063),-87.75491328,41.95335448,
Diamond Cleaning,3823,N Cicero Ave,,,,Chicago,,Out of Business,Trade Service,Other repair,No,2019,Repair Services Nec,773-620-7973,,POINT(-87.7471866219696 41.9505216184214),-87.74718662,41.95052162,
Different Strokes Painting,5520,W Pensacola Ave,,,,Chicago,,Active,Trade Service,Building trades,Yes,2019,Printing Paper Hangin,773-205-0515,,POINT(-87.7656510003579 41.9596224605955),-87.765651,41.95962246,
Dina Transportation,5948,W Cullom Ave,,,,Chicago,,Active,"Wholesale, storage and transit",Vehicle rental,Yes,2019,Lcl Trckg W/O Strge,312-451-4748,,POINT(-87.7761153717963 41.9586058653184),-87.77611537,41.95860587,
Diplomat Realty,5743,W Irving Park Rd,,,,Chicago,,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Property service office,No,2019,Rl Estate Agents Managers,847-606-6077,,POINT(-87.771235159031 41.9530451592666),-87.77123516,41.95304516,
Discount Auto Service,5850,W Addison St,,,,Chicago,,Active,Trade Service,Vehicle services,No,2019,Gnrl Atmtve RPR Shp,773-777-5640,,POINT(-87.7736108606994 41.9458344604228),-87.77361086,41.94583446,
Distinct Bath & Body,4046,N Milwaukee Ave,,,,Chicago,60641,Active,Retail,Beauty-Accessory,No,2019,,773-930-4420,,POINT(-87.7489415 41.954159),-87.7489415,41.954159,
District Office of Congressman,4345,N Milwaukee ave,,,,Chicago,60641,Active,Public Services,Government,No,2019,,773-267-5926,,POINT(-87.7536327 41.9600352),-87.7536327,41.9600352,
District Office of Will Guzzardi,3458,N Cicero Ave,,,,Chicago,,Active,Social Services & Political Advocacy,Administrative,No,2019,Surveying  Services,773-853-2571,,POINT(-87.7470774425266 41.9441302797103),-87.74707744,41.94413028,
Diversified Home Care,5501,W Montrose Ave,,,,Chicago,,Active,Health Services,Mobile health service,No,2019,Gnl Mdl Srgl Hsptl,847-729-9475,,POINT(-87.7650205806578 41.9604825137764),-87.76502058,41.96048251,
DJ Auto Electric,3454,N Cicero Ave,,,,Chicago,,Out of Business,Retail,Electronics & appliances,No,2019,Gnrl Atmtve RPR Shp,773-794-2111,,POINT(-87.7470739992841 41.9440315737459),-87.747074,41.94403157,
DK Flooring,6210,W Montrose Ave,,,,Chicago,,Out of Business,Trade Service,Building trades,No,2019,Flr Laying Work Ne,773-282-8556,,POINT(-87.7822736123265 41.9603144859844),-87.78227361,41.96031449,
Dmd,5515,W Hutchinson St,,,,Chicago,,Out of Business,Health Services,Dentist,Yes,2019,,773-685-6377,,POINT(-87.765331636698 41.9577285137758),-87.76533164,41.95772851,
Dna Finance Corporation,3942,N Central Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Other financial,No,2019,Management Consulting Services,708-667-0670,,POINT(-87.7670074357756 41.9526099217225),-87.76700744,41.95260992,
Dollar Buck Plus,5606,W Belmont Ave,,,,Chicago,,Active,Retail,Small mixed,No,2019,,773-777-7193,,POINT(-87.7671219449232 41.9385854787378),-87.76712194,41.93858548,
Dollar General,4828,W Irving Park Rd,,,,Chicago,,Active,Retail,Small Grocery,No,2019,Variety Stores,708-667-6893,,POINT(-87.7485321931623 41.9534135190436),-87.74853219,41.95341352,
Dollar Market Plus,4600,W Belmont Ave,,,,Chicago,,Active,Retail,Convenience,No,2019,Grocery Stores,773-282-1667,,POINT(-87.7424329018777 41.9389591856256),-87.7424329,41.93895919,
Dollar Tree,5708,W Irving Park Rd,,,,Chicago,,Active,Retail,Small mixed,No,2019,,827-243-2856,,POINT(-87.769880611872 41.9531815297274),-87.76988061,41.95318153,
Dollar Tree,5616,W Belmont Ave,,,,Chicago,,Active,Retail,Small mixed,No,2019,,773-628-0090,,POINT(-87.7672052196484 41.9386357945185),-87.76720522,41.93863579,
Dollar Tree,4118,N Cicero Ave,,,,Chicago,,Active,Retail,Small mixed,No,2019,Variety Stores,773-824-3403,,POINT(-87.7473994211823 41.9558302979978),-87.74739942,41.9558303,
Dollar Tree,4072,N Milwaukee Ave,,,,Chicago,,Out of Business,Retail,Small mixed,No,2019,Variety Stores,773-736-3669,,POINT(-87.7495071634862 41.9547681719053),-87.74950716,41.95476817,
"Dolly Thomas, MD",4014,N Central Ave,,,,Chicago,,Active,Health Services,Out-patient,No,2019,,773-283-9594,,POINT(-87.7670589685302 41.953733999938),-87.76705897,41.953734,
Doma Shipping & Travel,4448,N Milwaukee Ave,,,,Chicago,,Out of Business,"Wholesale, storage and transit",Moving and storage,No,2019,Frgt Trans Arngmnt,773-736-2900,,POINT(-87.7555391952106 41.961747749001),-87.7555392,41.96174775,
Domino Logistics,4938,W Belmont Ave,,,,Chicago,,Active,Trade Service,Building trades,No,2019,Transportation  Services Ne,224-795-1925,,POINT(-87.7509128607176 41.9388044862065),-87.75091286,41.93880449,
Dominos Pizza,3918,N Cicero Ave,,,,Chicago,,Active,Dining,Fast Food,No,2019,Eating Places,773-249-7222,,POINT(-87.7472968955606 41.9521673296552),-87.7472969,41.95216733,
Donald Hamel Window Cleaning,4248,N Parkside Ave,,,,Chicago,,Active,Trade Service,Indoor service,Yes,2019,Bldng Maint Svc Ne,773-725-4250,,POINT(-87.7684169104227 41.9582328267039),-87.76841691,41.95823283,
Dorothy Kezios - Point Kristin,5281,W Windsor Ave,,,,Chicago,,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Other professional,Yes,2019,Bus Consulting Nec,773-685-7134,,POINT(-87.7596530489188 41.9632423703615),-87.75965305,41.96324237,
Doug's Drainage,5037,W Montrose Ave,,,,Chicago,,Active,Trade Service,Other repair,Yes,2019,Repair Services Nec,773-556-9202,,POINT(-87.753475314947 41.9605576969868),-87.75347531,41.9605577,
Douglas G. Shredder Law Office,4653,N Milwaukee Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Lawyer's office,No,2019,,773-282-4124,,POINT(-87.7584972495248 41.9653210532882),-87.75849725,41.96532105,
Douglas Tuckpointing,4743,N Lawler Ave,,,,Chicago,,Active,Trade Service,Building trades,Yes,2019,Msnry Other Stnwrk,773-736-4398,,POINT(-87.7536046588732 41.9674165146788),-87.75360466,41.96741651,
Dove Limo Service,4428,N Central Ave,,,,Chicago,,Out of Business,"Wholesale, storage and transit","Taxi, limo and similar",No,2019,Lcl Pass Trans Nec,773-777-5280,,POINT(-87.7673194503182 41.961374078163),-87.76731945,41.96137408,
"Dr. J. Stankiewicz, MD",3800,N Central Ave,,,,Chicago,,Out of Business,Health Services,Out-patient,No,2019,Ofcs Clns of Mdl D,773-205-8415,,POINT(-87.766928384929 41.9496556590426),-87.76692838,41.94965566,
"Dr. Juanita Mora, MD",4952,W Irving Park Rd,,,,Chicago,,Active,Health Services,Out-patient,No,2019,Ofcs Clns of Mdl D,773-614-7315,,POINT(-87.7516913605057 41.9533895040392),-87.75169136,41.9533895,
Dr. Kevin McCoy Orthodontist,5947,W Montrose Ave,,,,Chicago,,Active,Health Services,Dentist,No,2019,Ofcs Clns of Dntst,773-286-5935,,POINT(-87.7763791360284 41.9603195393629),-87.77637914,41.96031954,
Dr. Kowalczyk Clinic,5308,W Belmont Ave,,,,Chicago,,Active,Health Services,Out-patient,No,2019,Offcs Ostpathc Phys,773-282-4793,,POINT(-87.7595627511648 41.9386974606641),-87.75956275,41.93869746,
Dr. M.A. Starsiak,5754,W Irving Park Rd,,,,Chicago,,Active,Health Services,Dentist,No,2019,Ofcs Clns of Dntst,773-545-0057,,POINT(-87.7714569279218 41.9531988407368),-87.77145693,41.95319884,
"Dr. Michael R. Oster, PC",5943,W Irving Park Rd,,,,Chicago,,Active,Health Services,Out-patient,No,2019,Ofcs Clns of Mdl D,773-282-6111,,POINT(-87.7760321644448 41.9530455287097),-87.77603216,41.95304553,
Dr. Shirish N. Shah,5600,W Addison St,,,,Chicago,,Active,Health Services,Out-patient,No,2019,Ofcs Clns of Mdl D,773-283-8444,,POINT(-87.7668303320191 41.9459448320839),-87.76683033,41.94594483,
