census_tract,Place Type,count_of_Active_PlaceStatus
17031210602,Dining,11
17031210602,"Financial, Insurance, Real Estate, Legal, and Professional",15
17031210602,Fitness,1
17031210602,Health Services,6
17031210602,Personal Service,9
17031210602,Public Services,1
17031210602,Religious (except school or residence),1
17031210602,Retail,9
17031210602,Service or Programmed Residential Space,1
17031210602,Social Services & Political Advocacy,2
17031210602,Trade Service,20
17031210602,"Wholesale, Storage and Transportation",1
17031210700,Arts and Entertainment,3
17031210700,Childcare and Schools,1
17031210700,Dining,5
17031210700,"Financial, Insurance, Real Estate, Legal, and Professional",8
17031210700,Fitness,1
17031210700,Personal Service,5
17031210700,Public Services,1
17031210700,Retail,8
17031210700,Social Services & Political Advocacy,3
17031210700,Trade Service,19
17031210700,Unknown,1
17031210700,"Wholesale, Storage and Transportation",3
17031210800,Childcare and Schools,2
17031210800,Dining,7
17031210800,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031210800,Health Services,1
17031210800,Personal Service,2
17031210800,Religious (except school or residence),1
17031210800,Retail,5
17031210800,Social Services & Political Advocacy,1
17031210800,Trade Service,10
17031210800,"Wholesale, Storage and Transportation",2
17031210900,Arts and Entertainment,6
17031210900,Dining,11
17031210900,"Financial, Insurance, Real Estate, Legal, and Professional",10
17031210900,Fitness,1
17031210900,Health Services,4
17031210900,Personal Service,2
17031210900,Public Services,1
17031210900,Religious (except school or residence),1
17031210900,Retail,10
17031210900,Trade Service,30
17031210900,"Wholesale, Storage and Transportation",6
17031220300,Arts and Entertainment,3
17031220300,Childcare and Schools,1
17031220300,Dining,3
17031220300,"Financial, Insurance, Real Estate, Legal, and Professional",8
17031220300,Fitness,1
17031220300,Health Services,4
17031220300,Personal Service,1
17031220300,Retail,5
17031220300,Service or Programmed Residential Space,1
17031220300,Social Services & Political Advocacy,2
17031220300,Trade Service,7
17031220400,Arts and Entertainment,5
17031220400,Dining,8
17031220400,"Financial, Insurance, Real Estate, Legal, and Professional",15
17031220400,Health Services,5
17031220400,Personal Service,4
17031220400,Religious (except school or residence),3
17031220400,Retail,8
17031220400,Service or Programmed Residential Space,1
17031220400,Trade Service,12
17031220400,"Wholesale, Storage and Transportation",2
17031220500,Arts and Entertainment,6
17031220500,Childcare and Schools,2
17031220500,Dining,16
17031220500,"Financial, Insurance, Real Estate, Legal, and Professional",7
17031220500,Health Services,3
17031220500,Personal Service,10
17031220500,Public Services,1
17031220500,Religious (except school or residence),1
17031220500,Retail,12
17031220500,Social Services & Political Advocacy,1
17031220500,Trade Service,12
17031220500,"Wholesale, Storage and Transportation",1
17031220601,Arts and Entertainment,2
17031220601,Childcare and Schools,2
17031220601,Dining,7
17031220601,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031220601,Fitness,2
17031220601,Health Services,8
17031220601,Industrial,1
17031220601,Other,1
17031220601,Personal Service,2
17031220601,Public Services,2
17031220601,Religious (except school or residence),1
17031220601,Retail,7
17031220601,Trade Service,7
17031220602,Arts and Entertainment,6
17031220602,Childcare and Schools,1
17031220602,Dining,13
17031220602,"Financial, Insurance, Real Estate, Legal, and Professional",4
17031220602,Health Services,7
17031220602,Personal Service,7
17031220602,Religious (except school or residence),1
17031220602,Retail,18
17031220602,Service or Programmed Residential Space,2
17031220602,Social Services & Political Advocacy,6
17031220602,Trade Service,8
17031220602,"Wholesale, Storage and Transportation",1
17031220701,Arts and Entertainment,3
17031220701,Childcare and Schools,1
17031220701,Dining,3
17031220701,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031220701,Health Services,6
17031220701,Personal Service,3
17031220701,Religious (except school or residence),1
17031220701,Retail,6
17031220701,Social Services & Political Advocacy,1
17031220701,Trade Service,7
17031220701,"Wholesale, Storage and Transportation",2
17031220702,Childcare and Schools,3
17031220702,Dining,4
17031220702,"Financial, Insurance, Real Estate, Legal, and Professional",4
17031220702,Fitness,1
17031220702,Health Services,4
17031220702,Industrial,3
17031220702,Personal Service,4
17031220702,Religious (except school or residence),1
17031220702,Retail,10
17031220702,Trade Service,14
17031220702,"Wholesale, Storage and Transportation",2
17031220901,Arts and Entertainment,1
17031220901,Childcare and Schools,1
17031220901,Dining,1
17031220901,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031220901,Fitness,1
17031220901,Health Services,1
17031220901,Personal Service,1
17031220901,Retail,3
17031220901,Service or Programmed Residential Space,1
17031220901,Trade Service,3
17031220901,"Wholesale, Storage and Transportation",1
17031220902,Arts and Entertainment,4
17031220902,Childcare and Schools,4
17031220902,Dining,5
17031220902,"Financial, Insurance, Real Estate, Legal, and Professional",5
17031220902,Health Services,2
17031220902,Industrial,2
17031220902,Personal Service,1
17031220902,Religious (except school or residence),1
17031220902,Retail,11
17031220902,Service or Programmed Residential Space,1
17031220902,Social Services & Political Advocacy,1
17031220902,Trade Service,5
17031220902,"Wholesale, Storage and Transportation",5
17031221000,Arts and Entertainment,1
17031221000,Dining,7
17031221000,"Financial, Insurance, Real Estate, Legal, and Professional",4
17031221000,Fitness,1
17031221000,Health Services,3
17031221000,Personal Service,1
17031221000,Retail,3
17031221000,Trade Service,7
17031221000,"Wholesale, Storage and Transportation",1
17031221100,Arts and Entertainment,6
17031221100,Childcare and Schools,2
17031221100,Dining,3
17031221100,"Financial, Insurance, Real Estate, Legal, and Professional",7
17031221100,Fitness,1
17031221100,Health Services,7
17031221100,Personal Service,5
17031221100,Religious (except school or residence),2
17031221100,Retail,7
17031221100,Service or Programmed Residential Space,3
17031221100,Social Services & Political Advocacy,2
17031221100,Trade Service,11
17031221100,"Wholesale, Storage and Transportation",3
17031221200,Arts and Entertainment,2
17031221200,Childcare and Schools,2
17031221200,Dining,4
17031221200,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031221200,Health Services,5
17031221200,Personal Service,4
17031221200,Religious (except school or residence),2
17031221200,Retail,5
17031221200,Social Services & Political Advocacy,2
17031221200,Trade Service,3
17031221300,Arts and Entertainment,5
17031221300,Childcare and Schools,2
17031221300,Dining,20
17031221300,"Financial, Insurance, Real Estate, Legal, and Professional",11
17031221300,Fitness,1
17031221300,Health Services,6
17031221300,Industrial,1
17031221300,Personal Service,6
17031221300,Public Services,3
17031221300,Religious (except school or residence),4
17031221300,Retail,15
17031221300,Service or Programmed Residential Space,2
17031221300,Social Services & Political Advocacy,2
17031221300,Trade Service,14
17031221300,"Wholesale, Storage and Transportation",2
17031221400,Arts and Entertainment,3
17031221400,Childcare and Schools,4
17031221400,Dining,14
17031221400,"Financial, Insurance, Real Estate, Legal, and Professional",12
17031221400,Fitness,4
17031221400,Health Services,4
17031221400,Industrial,1
17031221400,Personal Service,7
17031221400,Public Services,1
17031221400,Retail,14
17031221400,Social Services & Political Advocacy,1
17031221400,Trade Service,16
17031221400,"Wholesale, Storage and Transportation",2
17031221500,Arts and Entertainment,3
17031221500,Childcare and Schools,3
17031221500,Dining,10
17031221500,"Financial, Insurance, Real Estate, Legal, and Professional",7
17031221500,Fitness,1
17031221500,Health Services,2
17031221500,Industrial,1
17031221500,Personal Service,4
17031221500,Religious (except school or residence),1
17031221500,Retail,4
17031221500,Service or Programmed Residential Space,1
17031221500,Trade Service,7
17031221600,Arts and Entertainment,2
17031221600,Childcare and Schools,1
17031221600,Dining,7
17031221600,"Financial, Insurance, Real Estate, Legal, and Professional",15
17031221600,Fitness,2
17031221600,Health Services,6
17031221600,Other,1
17031221600,Personal Service,5
17031221600,Retail,5
17031221600,Service or Programmed Residential Space,1
17031221600,Social Services & Political Advocacy,2
17031221600,Trade Service,12
17031221600,"Wholesale, Storage and Transportation",1
17031222200,Arts and Entertainment,3
17031222200,Childcare and Schools,2
17031222200,Dining,10
17031222200,"Financial, Insurance, Real Estate, Legal, and Professional",5
17031222200,Fitness,2
17031222200,Health Services,4
17031222200,Personal Service,5
17031222200,Retail,8
17031222200,Service or Programmed Residential Space,1
17031222200,Social Services & Political Advocacy,1
17031222200,Trade Service,10
17031222200,"Wholesale, Storage and Transportation",2
17031222500,Childcare and Schools,1
17031222500,Dining,2
17031222500,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031222500,Health Services,1
17031222500,Personal Service,2
17031222500,Religious (except school or residence),1
17031222500,Retail,2
17031222500,Trade Service,6
17031222600,Childcare and Schools,1
17031222600,Dining,1
17031222600,"Financial, Insurance, Real Estate, Legal, and Professional",6
17031222600,Health Services,5
17031222600,Personal Service,2
17031222600,Religious (except school or residence),1
17031222600,Retail,2
17031222600,Trade Service,5
17031222600,"Wholesale, Storage and Transportation",1
17031222700,Childcare and Schools,1
17031222700,Dining,8
17031222700,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031222700,Health Services,3
17031222700,Industrial,1
17031222700,Religious (except school or residence),1
17031222700,Retail,7
17031222700,Social Services & Political Advocacy,2
17031222700,Trade Service,4
17031222800,Dining,2
17031222800,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031222800,Personal Service,1
17031222800,Religious (except school or residence),1
17031222800,Retail,2
17031222800,Service or Programmed Residential Space,1
17031222900,Childcare and Schools,1
17031222900,Dining,2
17031222900,Fitness,1
17031222900,Health Services,2
17031222900,Personal Service,2
17031222900,Public Services,1
17031222900,Retail,4
17031222900,Trade Service,9
17031222900,"Wholesale, Storage and Transportation",2
17031230100,Arts and Entertainment,1
17031230100,Health Services,1
17031230100,Personal Service,2
17031230100,Public Services,1
17031230100,Religious (except school or residence),2
17031230100,Retail,1
17031230200,Childcare and Schools,1
17031230200,Dining,6
17031230200,"Financial, Insurance, Real Estate, Legal, and Professional",6
17031230200,Health Services,7
17031230200,Industrial,1
17031230200,Retail,3
17031230200,Social Services & Political Advocacy,1
17031230200,Trade Service,5
17031230200,"Wholesale, Storage and Transportation",2
17031230300,Arts and Entertainment,1
17031230300,Fitness,1
17031230300,Personal Service,2
17031230300,Religious (except school or residence),2
17031230300,Retail,1
17031230300,Trade Service,2
17031230400,Dining,5
17031230400,"Financial, Insurance, Real Estate, Legal, and Professional",6
17031230400,Health Services,3
17031230400,Personal Service,2
17031230400,Public Services,1
17031230400,Retail,8
17031230400,Social Services & Political Advocacy,1
17031230400,Trade Service,6
17031230500,Arts and Entertainment,1
17031230500,Childcare and Schools,1
17031230500,Dining,10
17031230500,"Financial, Insurance, Real Estate, Legal, and Professional",6
17031230500,Health Services,1
17031230500,Industrial,2
17031230500,Personal Service,3
17031230500,Public Services,1
17031230500,Religious (except school or residence),1
17031230500,Retail,22
17031230500,Service or Programmed Residential Space,1
17031230500,Trade Service,4
17031230500,"Wholesale, Storage and Transportation",1
17031230600,Arts and Entertainment,1
17031230600,Childcare and Schools,6
17031230600,Dining,6
17031230600,"Financial, Insurance, Real Estate, Legal, and Professional",5
17031230600,Fitness,1
17031230600,Health Services,2
17031230600,Industrial,2
17031230600,Personal Service,3
17031230600,Religious (except school or residence),3
17031230600,Retail,21
17031230600,Service or Programmed Residential Space,1
17031230600,Trade Service,11
17031230600,"Wholesale, Storage and Transportation",2
17031230700,Arts and Entertainment,1
17031230700,Childcare and Schools,2
17031230700,Dining,5
17031230700,"Financial, Insurance, Real Estate, Legal, and Professional",7
17031230700,Health Services,2
17031230700,Industrial,1
17031230700,Personal Service,8
17031230700,Public Services,1
17031230700,Religious (except school or residence),6
17031230700,Retail,11
17031230700,Social Services & Political Advocacy,2
17031230700,Trade Service,13
17031230700,"Wholesale, Storage and Transportation",2
17031230800,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031230800,Industrial,1
17031230800,Personal Service,1
17031230800,Retail,2
17031230800,Social Services & Political Advocacy,2
17031230800,Trade Service,2
17031230900,Arts and Entertainment,1
17031230900,Childcare and Schools,1
17031230900,Dining,11
17031230900,"Financial, Insurance, Real Estate, Legal, and Professional",7
17031230900,Health Services,2
17031230900,Personal Service,4
17031230900,Religious (except school or residence),5
17031230900,Retail,9
17031230900,Trade Service,1
17031231100,Dining,1
17031231100,Retail,1
17031231100,Social Services & Political Advocacy,1
17031231200,Childcare and Schools,1
17031231200,Dining,4
17031231200,"Financial, Insurance, Real Estate, Legal, and Professional",5
17031231200,Fitness,1
17031231200,Personal Service,5
17031231200,Religious (except school or residence),7
17031231200,Retail,8
17031231200,Service or Programmed Residential Space,1
17031231200,Social Services & Political Advocacy,2
17031231200,Trade Service,2
17031231200,"Wholesale, Storage and Transportation",1
17031231500,Childcare and Schools,1
17031231500,Dining,2
17031231500,Personal Service,6
17031231500,Religious (except school or residence),1
17031231500,Retail,6
17031231500,Social Services & Political Advocacy,4
17031240500,Health Services,1
17031240900,Health Services,1
17031242500,Trade Service,1
17031242700,Arts and Entertainment,1
17031242700,Dining,1
17031242700,Fitness,1
17031242700,Personal Service,3
17031242700,Retail,2
17031242700,Trade Service,3
17031242700,"Wholesale, Storage and Transportation",1
17031242800,"Financial, Insurance, Real Estate, Legal, and Professional",5
17031242800,Fitness,1
17031242800,Religious (except school or residence),1
17031242800,Retail,5
17031242800,Trade Service,13
17031242800,"Wholesale, Storage and Transportation",1
17031242900,Arts and Entertainment,2
17031242900,Childcare and Schools,1
17031242900,Dining,2
17031242900,"Financial, Insurance, Real Estate, Legal, and Professional",4
17031242900,Fitness,1
17031242900,Industrial,6
17031242900,Other,1
17031242900,Religious (except school or residence),1
17031242900,Retail,16
17031242900,Social Services & Political Advocacy,2
17031242900,Trade Service,14
17031243000,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031243000,Fitness,1
17031243000,Health Services,1
17031243000,Industrial,6
17031243000,Personal Service,1
17031243000,Retail,2
17031243000,Trade Service,9
17031243500,Arts and Entertainment,2
17031243500,Retail,1
17031243500,Trade Service,1
17031250200,Dining,3
17031250200,Industrial,5
17031250200,Personal Service,4
17031250200,Public Services,1
17031250200,Religious (except school or residence),1
17031250200,Retail,5
17031250200,Social Services & Political Advocacy,1
17031250200,Trade Service,6
17031250200,"Wholesale, Storage and Transportation",2
17031250300,Childcare and Schools,2
17031250300,Dining,3
17031250300,"Financial, Insurance, Real Estate, Legal, and Professional",4
17031250300,Industrial,5
17031250300,Personal Service,7
17031250300,Religious (except school or residence),5
17031250300,Retail,4
17031250300,Trade Service,5
17031250300,"Wholesale, Storage and Transportation",2
17031250400,Arts and Entertainment,2
17031250400,Childcare and Schools,5
17031250400,Dining,4
17031250400,"Financial, Insurance, Real Estate, Legal, and Professional",5
17031250400,Health Services,2
17031250400,Industrial,10
17031250400,Other,1
17031250400,Personal Service,12
17031250400,Public Services,1
17031250400,Religious (except school or residence),8
17031250400,Retail,13
