Name,BuildingNumber,Street,Unit,Fraction,GeoArea,City,Zip,PlaceStatus,PlaceType,PlaceSubType,PrivateResidence,MappedYear,Note,PhoneNumber,Email,Geolocation,Lng,Lat,Website
Hank Consulting,4500,N Leavitt St,,,,Chicago,,Unknown,"Financial, Insurance, Real Estate, Legal, and Professional",Other financial,No,2019,Bus Consulting Nec  Called no answer,773-506-2781,,POINT(-87.6839484904453 41.9633460001915),-87.68394849,41.963346,
Hankel's Flowers,1909,W Foster Ave,,,,Chicago,,Active,Retail,Hardware,No,2019,Florists,800-796-7754,,POINT(-87.6767139370507 41.9759966045535),-87.67671394,41.9759966,
Hans H. Wegener,4421,N Artesian Ave,,,,Chicago,,Active,Service or Programmed Residential Space,Other,Yes,2019,Bus Consulting Nec,773-478-5899,,POINT(-87.6898935966911 41.961968863863),-87.6898936,41.96196886,
Hansa Clipper,4659,N Lincoln Ave,,,,Chicago,,Active,Dining,Bar-grill,No,2019,Drinking Places,773-878-3662,,POINT(-87.6871041462743 41.9664780833935),-87.68710415,41.96647808,
Happy Balance Rn,4818,N Hamilton Ave,,,,Chicago,,Unknown,Health Services,Out-patient,Yes,2019,Ofcs Hlth Prnrs Ne,773-818-8382,,POINT(-87.6829379171917 41.969302994286),-87.68293792,41.96930299,
Happy Kidds,2148,W Montrose Ave,,,,Chicago,,Active,Childcare and Schools,Home daycare,Yes,2019,Child Day Care Services,773-728-2245,,POINT(-87.6833732515582 41.9614104531902),-87.68337325,41.96141045,
Harold Rankin,4928,N Seeley Ave,,,,Chicago,,Unknown,Unknown,Unknown,Yes,2019,"No information found online and no answer on phone. No signage either 8/23/19 no answer, no signage",773-784-1265,,POINT(-87.6804974029739 41.971453910188),-87.6804974,41.97145391,
Harrison Group,4541,N Claremont Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Other financial,Yes,2019,Management Consulting Services,773-334-1011,,POINT(-87.6875155638946 41.964390199108),-87.68751556,41.9643902,
Harvestime Foods,2632,W Lawrence Ave,,,,Chicago,,Active,Retail,Large grocery,No,2019,Grocery Stores,773-989-4400,,POINT(-87.6952433606521 41.9685744531537),-87.69524336,41.96857445,
Havana Spa,4754,N Lincoln Ave,,,,Chicago,,Active,Personal Service,Beauty,No,2019,Physcl Ftnss Faclts,773-334-5303,,POINT(-87.688198113729 41.968027698028),-87.68819811,41.9680277,
Haynes Chiropractic,4821,N Damen Ave,,,,Chicago,,Active,Health Services,Chiropractor,No,2019,,312-658-0658,,POINT(-87.6791650352192 41.9694481154982),-87.67916504,41.96944812,
Hazel,1926,W Montrose Ave,,,,Chicago,,Active,Retail,Clothing,No,2019,Stationery Stores,773-769-2227,,POINT(-87.6763273326952 41.9615614712864),-87.67632733,41.96156147,
HBI Home Products,5360,N Lincoln Ave,,,,Chicago,,Active,Retail,Housewares & furnishings,No,2019,Homefurnishings,847-636-6133,,POINT(-87.6927096336472 41.9793000347084),-87.69270963,41.97930003,
Head & Neck and Cosmetic Chicago ENT,5140,N California Ave,,,,Chicago,,Active,Health Services,Out-patient,No,2019,Ofcs Clns of Mdl D,773-296-5500,,POINT(-87.6989688591883 41.9748063585496),-87.69896886,41.97480636,
Healthcare,2800,W Gregory St,,,,Chicago,,Unknown,Health Services,Other,Yes,2019,Home Hlth Care Services,773-334-5343,,POINT(-87.6994508610338 41.9822334891519),-87.69945086,41.98223349,
Healthy Posture Store,2554,W Lawrence Ave,,,,Chicago,,Active,Retail,Other,No,2019,,773-596-5625,,POINT(-87.6933935255646 41.9686124858241),-87.69339353,41.96861249,
Heather Parker Photography,2238,W Winona St,,,,Chicago,,Active,Trade Service,Photo studio,Yes,2019,Photo Stdios Prtrt,773-295-4292,,POINT(-87.6858115280726 41.9749824530386),-87.68581153,41.97498245,
Hella's Pastry Shop,2627,W Lawrence Ave,,,,Chicago,,Active,Dining,Cafe-Bakery-Specialty,No,2019,Retail Bakeries,773-271-7500,,POINT(-87.6947530808313 41.9685275392827),-87.69475308,41.96852754,
Hello Doggy,2747,W Lawrence Ave,,,,Chicago,,Out of Business,Trade Service,Animal care,No,2019,,773-293-2277,,POINT(-87.6981699748297 41.9685114887731),-87.69816997,41.96851149,
Henington Photography,2700,W Argyle St,,,,Chicago,,Active,Trade Service,Photo studio,Yes,2019,Photofnshng Lbrtrs,757-289-6892,,POINT(-87.696539999713 41.9722115335114),-87.69654,41.97221153,
Hero Solutions,4815,N Oakley Ave,,,,Chicago,,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Other financial,Yes,2019,Eating Places,773-551-2379,,POINT(-87.6864545385597 41.9692139998481),-87.68645454,41.969214,
HI Counselor,2215,W Winona St,,,,Chicago,,Unknown,"Financial, Insurance, Real Estate, Legal, and Professional",Other financial,Yes,2019,Management Consulting Services,614-313-4330,,POINT(-87.6849295809913 41.9749374886406),-87.68492958,41.97493749,
Hidden Cove Bar,5338,N Lincoln Ave,,,,Chicago,,Active,Dining,Bar-grill,No,2019,Drinking Places,773-275-6711,,POINT(-87.6926694690725 41.9788790777547),-87.69266947,41.97887908,
High School Association for Parents & Teachers,4742,N Oakley Ave,,,,Chicago,,Unknown,Childcare and Schools,Other,Yes,2019,Elmntry Scndry Scl,773-728-1583,,POINT(-87.6864974654539 41.9680426379193),-87.68649747,41.96804264,
Highland Auto Sales,5136,N Western Ave,,,,Chicago,,Active,Retail,Auto Supply,No,2019,No answer,773-334-6410,,POINT(-87.6891753055866 41.9751957423176),-87.68917531,41.97519574,
Hilarys Cookies,4917,N Lincoln Ave,,,,Chicago,,Active,Dining,Cafe-Bakery-Specialty,No,2019,Grcrs Rltd Prds N,312-285-5055,,POINT(-87.6901836231705 41.9712205278955),-87.69018362,41.97122053,
Hilltop Restaurant,2800,W Foster Ave,,,,Chicago,,Active,Dining,Restaurant,No,2019,Eating Places,773-989-9100,,POINT(-87.6989928684609 41.9759058684145),-87.69899287,41.97590587,
Historical AR Tours,4629,N Winchester Ave,,,,Chicago,,Out of Business,Trade Service,Tech service,Yes,2019,Cstm Cmptr Prgmg Sv,312-720-4052,,POINT(-87.6775424038299 41.9659427072607),-87.6775424,41.96594271,
Hitko,5357,N Lincoln Ave,,,,Chicago,,Active,Retail,Other,No,2019,Cutlery,773-728-0990,,POINT(-87.6925818887222 41.978826172622),-87.69258189,41.97882617,
Hofheimer Gallery,4823,N Damen Ave,,,,Chicago,,Active,Personal Service,Body art,No,2019,Amusement Recreation N,847-274-7550,,POINT(-87.6791660530104 41.9695471153859),-87.67916605,41.96954712,
Holistic Manipulative Medicine,1945,W Wilson Ave,,,,Chicago,,Active,Health Services,Alternative medicine,No,2019,,773-271-2900,,POINT(-87.6786529712528 41.9650675387185),-87.67865297,41.96506754,
Home Care Plus,4744,N Western Ave,,,,Chicago,,Active,Retail,Other,No,2019,Medical Hosp Equip,773-267-5123,,POINT(-87.6889394771633 41.9681992280469),-87.68893948,41.96819923,
Home Remodeling,5060,N Claremont Ave,,,,Chicago,,Unknown,Trade Service,Building trades,Yes,2019,"No online presence, signage, or answer to phone",773-728-1779,,POINT(-87.6879194392598 41.9740546592036),-87.68791944,41.97405466,
Home Solutions,4553,N Lincoln Ave,,,,Chicago,,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Property service office,No,2019,Rl Estate Agents Managers,312-375-5537,,POINT(-87.6858645511323 41.964577050337),-87.68586455,41.96457705,
Home Specialty Connection,4955,N Damen Ave,,,,Chicago,,Unknown,Trade Service,Media,No,2019,No evidence of business,815-363-1934,,POINT(-87.6792440672013 41.9721483663539),-87.67924407,41.97214837,
Hoot Infused Edibles,5111,N Wolcott Ave,,,,Chicago,,Unknown,Retail,Other food,Yes,2019,Called no answer,773-225-3787,,POINT(-87.6763266365008 41.9751181467813),-87.67632664,41.97511815,
HP Interactive,2461,W Balmoral Ave,,,,Chicago,,Active,Trade Service,Media,Yes,2019,Misc Publishing,773-681-4440,,POINT(-87.6914299179479 41.9795065274191),-87.69142992,41.97950653,
Hubs Gyros,5540,N Lincoln Ave,,,,Chicago,,Active,Dining,Restaurant,No,2019,Eating Places,773-784-4228,,POINT(-87.6936767886282 41.9822339632648),-87.69367679,41.98223396,
Huettenbar,4721,N Lincoln Ave,,,,Chicago,,Active,Dining,Bar-grill,No,2019,Drinking Places,773-561-2507,,POINT(-87.6876060467016 41.9672966422813),-87.68760605,41.96729664,
Hummingbird Technologies,2729,W Carmen Ave,,,,Chicago,,Active,Trade Service,Tech service,No,2019,Bus  Services  Nec,773-759-9331,,POINT(-87.6975624747458 41.973954539656),-87.69756247,41.97395454,
I Love Kick Boxing,4733,N Western Ave,,,,Chicago,,Active,Fitness,Fitness art,No,2019,Membership Organizations Ne,773-716-3834,,POINT(-87.6888240679038 41.9676930316562),-87.68882407,41.96769303,
I Monelli Trattoria Pizza,5019,N Western Ave,,,,Chicago,,Active,Dining,Fast Food,No,2019,Eating Places,773-435-9896,,POINT(-87.689007096948 41.9728679473031),-87.6890071,41.97286795,
ICM Properties,5204,N Damen Ave,,,,Chicago,,Active,Retail,Convenience,No,2019,,773-769-6235,,POINT(-87.6794761253954 41.9762905065598),-87.67947613,41.97629051,
Iglesia De Cristo Elim Chicago,5232,N Western Ave,,,,Chicago,,Active,Religious (except school or residence),Church,No,2019,Religious Organizations,773-764-5801,,POINT(-87.6892225479874 41.9768847155802),-87.68922255,41.97688472,
Iinland Cleaning,4851,N Winchester Ave,,,,Chicago,,Out of Business,Trade Service,Indoor service,Yes,2019,Repair Services Nec,773-749-6012,,POINT(-87.6776845783933 41.9702933605089),-87.67768458,41.97029336,
Illinois Conference of SDA,5220,N California Ave,,,,Chicago,,Active,Religious (except school or residence),Other religious except residential,No,2019,Elmntry Scndry Scl,773-769-0733,,POINT(-87.6989898519182 41.97651229821),-87.69898985,41.9765123,
Illinois Engraving,4530,N Ravenswood Ave,,,,Chicago,,Active,Trade Service,Building trades,No,2019,Spcl Dies Tls Fxt,773-728-4400,,POINT(-87.674636909943 41.9643080777199),-87.67463691,41.96430808,
Illinois Institute For Integrity Mental Health,4770,N Lincoln Ave,,,,Chicago,,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Insurance agency,No,2019,Spty Otpnt Clns Ne,773-907-0991,,POINT(-87.6882668851539 41.968071104387),-87.68826689,41.9680711,
In Burdackis Drive,4739,N Damen Ave,,,,Chicago,,Active,Dining,Restaurant,No,2019,,312-342-0034,,POINT(-87.6791126409803 41.9680499101612),-87.67911264,41.96804991,
Incredible Entertainment,2215,W Carmen Ave,,,,Chicago,,Out of Business,Arts and Entertainment,Hall-party-cater,Yes,2019,Entrs Entrtnmnt Gr,773-506-9114,,POINT(-87.6849025812271 41.9739725395879),-87.68490258,41.97397254,
Infinity Renovations,2527,W Carmen Ave,,,,Chicago,,Active,Trade Service,Building trades,No,2019,Sngl-Fam Hsng Cnstr,773-676-5791,,POINT(-87.6931298071466 41.9739774957125),-87.69312981,41.9739775,
Innoblative Designs,4660,N Ravenswood Ave,,,,Chicago,,Active,Retail,Clothing,No,2019,Bus  Services  Nec,203-984-9899,,POINT(-87.6746774724713 41.966594664443),-87.67467747,41.96659466,
Inova Energy Group,4444,N Damen Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Corporate office,Yes,2019,Management Consulting Services,312-316-9279,,POINT(-87.6790273746901 41.962643716979),-87.67902737,41.96264372,
Insight Product Development,4660,N Ravenswood Ave,,,,Chicago,,Active,Industrial,Other,No,2019,Engineering Services,773-907-9500,,POINT(-87.6746774724713 41.966594664443),-87.67467747,41.96659466,
Integrated Pain Management,4906,N Western Ave,,,,Chicago,,Active,Health Services,Other,No,2019,Management  Services,312-313-3250,,POINT(-87.6889974876694 41.9707169996713),-87.68899749,41.970717,
Intercom Security Store,5401,N Wolcott Ave,,,,Chicago,,Active,Retail,Other,Yes,2019,Commnctn Services Nec,773-989-4500,,POINT(-87.6764535711454 41.9801843921182),-87.67645357,41.98018439,
Intercom Ventures,5443,N Lincoln Ave,,,,Chicago,,Out of Business,Trade Service,Media,No,2019,Bus  Services  Nec,312-810-6300,,POINT(-87.692764224267 41.980744540072),-87.69276422,41.98074454,
Interntonal Fashions By Ingrid,4714,N Lincoln Ave,,,,Chicago,,Active,Retail,Clothing,No,2019,,773-878-8382,,POINT(-87.687630382961 41.967107571504),-87.68763038,41.96710757,
Ion Trading,4915,N Hoyne Ave,,,,Chicago,,Unknown,Retail,Other,Yes,2019,"Nondurable Gds Nec  Called no answer, no web presence, no signs",773-275-2699,,POINT(-87.6816360535291 41.9710137799021),-87.68163605,41.97101378,
IR Design Firm,5300,N Damen Ave,,,,Chicago,,Active,Trade Service,Building trades,No,2019,,773-784-9755,,POINT(-87.6795074873786 41.9780422455369),-87.67950749,41.97804225,
"Irene Renieris, DDS",1945,W Wilson Ave,,,,Chicago,,Active,Health Services,Dentist,No,2019,Ofcs Clns of Dntst,248-894-0554,,POINT(-87.6786529712528 41.9650675387185),-87.67865297,41.96506754,
Isla Pilipina,2501,W Lawrence Ave,,,,Chicago,,Active,Dining,Restaurant,No,2019,Eating Places,773-271-2988,,POINT(-87.691680974612 41.9685564884313),-87.69168097,41.96855649,
Itrios,2334,W Lawrence Ave,,,,Chicago,,Active,Trade Service,Tech service,No,2019,Cstm Cmptr Prgmg Sv,312-506-4299,,POINT(-87.6879873626751 41.9686825579695),-87.68798736,41.96868256,www.itduzzit.com
Ivan Antic,4500,N Winchester Ave,,,,Chicago,,Active,"Wholesale, storage and transit",Goods distribution,Yes,2019,Trckg Except Local,773-715-3671,,POINT(-87.6775689400634 41.9635343293403),-87.67756894,41.96353433,
J Blanton Plumbing,5126,N Ravenswood Ave,,,,Chicago,,Active,Trade Service,Building trades,No,2019,Plbng Htng Air-Co,773-724-9272,,POINT(-87.6749294723664 41.9757841360511),-87.67492947,41.97578414,
J One Contracting,4910,N Francisco Ave,,,,Chicago,,Out of Business,Trade Service,Building trades,Yes,2019,Spcl Trd Cntrs Nec,773-485-7700,,POINT(-87.7012604246472 41.97104941342),-87.70126042,41.97104941,
J&C Trading,4815,N Western Ave,,,,Chicago,,Out of Business,Retail,Clothing,No,2019,Wmns Cldrns Clthng,773-989-7176,,POINT(-87.6888855971108 41.9692234506499),-87.6888856,41.96922345,
Jaclyn Simpson Photography,4717,N Lincoln Ave,,,,Chicago,,Active,Trade Service,Photo studio,No,2019,Photo Stdios,630-544-4250,,POINT(-87.687615051414 41.9672670760685),-87.68761505,41.96726708,
Jain Audiology Specialists,1945,W Wilson Ave,,,,Chicago,,Active,Health Services,Out-patient,No,2019,Ofcs Clns of Mdl D,773-271-2036,,POINT(-87.6786529712528 41.9650675387185),-87.67865297,41.96506754,
James Kirby Gifts,4765,N Lincoln Ave,,,,Chicago,,Out of Business,Retail,Gift-art-ethnic,No,2019,Gft Nvlty Svenr S,312-961-4502,,POINT(-87.6883349298417 41.9683672764566),-87.68833493,41.96836728,
"Jamie D. Nichols, MD",5215,N California Ave,,,,Chicago,,Active,Health Services,Other,No,2019,Ofcs Clns of Mdl D,773-878-3627,,POINT(-87.698897205968 41.9762796496948),-87.69889721,41.97627965,
Jamie Lynn Designs,4915,N Winchester Ave,,,,Chicago,,Active,Trade Service,Media,Yes,2019,Bus  Services  Nec,312-945-6844,,POINT(-87.6777070784963 41.9711225865288),-87.67770708,41.97112259,
Jane Addams Resource,4432,N Ravenswood Ave,,,,Chicago,,Active,Trade Service,Building trades,No,2019,Job Trnng Rltd Svc,773-728-9769,,POINT(-87.6745774360813 41.9625075751719),-87.67457744,41.96250758,
"Jane Niermann, LCSW",2334,W Lawrence Ave,,,,Chicago,,Active,Health Services,Counselor,Yes,2019,Indvdl Family Services,773-263-7550,,POINT(-87.6879873626751 41.9686825579695),-87.68798736,41.96868256,
Janet R. Stallman,1945,W Wilson Ave,,,,Chicago,,Active,Health Services,Therapy outpatient,No,2019,Indvdl Family Services,773-680-8701,,POINT(-87.6786529712528 41.9650675387185),-87.67865297,41.96506754,
Janna M. Riley & Associates,2149,W Agatite Ave,,,,Chicago,,Unknown,"Financial, Insurance, Real Estate, Legal, and Professional",Other financial,Yes,2019,Rl Estate Agents Managers,773-275-1514,,POINT(-87.6833818322658 41.9622645138904),-87.68338183,41.96226451,
Japanese Cultral Center,5442,N California Ave,,,,Chicago,,Active,Social Services & Political Advocacy,Social service,Yes,2019,Cultral Center,773-275-6660,,POINT(-87.6991379176332 41.9807962456139),-87.69913792,41.98079625,
Japanese Restaurant: Shusi Joon,5501,N Lincoln Ave,,,,Chicago,,Active,Dining,Restaurant,No,2019,Eating Places,773-728-2939,,POINT(-87.6928257633555 41.9814399500188),-87.69282576,41.98143995,
Jasmine Accounting,5214,N Western Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,No,2019,Acctng Audtng Bkp,773-989-1120,,POINT(-87.6891984758327 41.9765319743263),-87.68919848,41.97653197,
Jay Mar Training Services,4942,N Fairfield Ave,,,,Chicago,,Unknown,Childcare and Schools,Trade school,Yes,2019,Vocational Schl Ne,773-334-7312,,POINT(-87.697686906684 41.9719314657),-87.69768691,41.97193147,
Jeff Sterner,2318,W Argyle St,,,,Chicago,,Out of Business,Retail,Small Grocery,Yes,2019,Grocery Stores,773-230-8643,,POINT(-87.687480556548 41.9723418641634),-87.68748056,41.97234186,
Jeff Zacharias,4770,N Lincoln Ave,,,,Chicago,,Active,Health Services,Therapy outpatient,No,2019,Indvdl Family Services,773-720-0068,,POINT(-87.6882668851539 41.968071104387),-87.68826689,41.9680711,
Jell Creative,4410,N Ravenswood Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Other professional,No,2019,Commercial Art Gr Dsg,773-769-5000,,POINT(-87.6745594356396 41.9620045498665),-87.67455944,41.96200455,
Jennifer L. Schroeder,2334,W Lawrence Ave,,,,Chicago,,Active,Health Services,Therapy outpatient,Yes,2019,Psychologist,847-868-3322,,POINT(-87.6879873626751 41.9686825579695),-87.68798736,41.96868256,
Jewell Animal Hospital,4501,N Lincoln Ave,,,,Chicago,,Active,Trade Service,Animal care,No,2019,,773-271-1901,,POINT(-87.6850451169132 41.9633180252373),-87.68504512,41.96331803,
Jewish Council on Urban Affairs,4700,N Ravenswood Ave,,,,Chicago,,Active,Social Services & Political Advocacy,Social service,No,2019,Social Services Nec,312-663-0960,,POINT(-87.674689914138 41.9672155492322),-87.67468991,41.96721555,
Jibek Jolu,5047,N Lincoln Ave,,,,Chicago,,Active,Dining,Restaurant,No,2019,Eating Places,773-878-8494,,POINT(-87.6914019902241 41.9731139334319),-87.69140199,41.97311393,
Jiffy Lube,5401,N Lincoln Ave,,,,Chicago,,Active,Trade Service,Vehicle services,No,2019,Automotive Services Ne,773-728-3307,,POINT(-87.6926493153691 41.9795992851778),-87.69264932,41.97959929,
Jigsol Consulting,2426,W Winona St,,,,Chicago,,Unknown,"Financial, Insurance, Real Estate, Legal, and Professional",Other financial,Yes,2019,Services  Nec  Called no answer,312-533-8778,,POINT(-87.6902213604973 41.9749094787058),-87.69022136,41.97490948,
Jimmy Pizzeria and Cafe,5159,N Lincoln Ave,,,,Chicago,,Active,Dining,Restaurant,No,2019,Eating Places,773-293-6992,,POINT(-87.6922539227951 41.9754034103721),-87.69225392,41.97540341,
JMD Real Estate Services,4931,N Bell Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Property service office,No,2019,Rl Estate Agents Managers,847-727-0722,,POINT(-87.6853160389214 41.971437366854),-87.68531604,41.97143737,
Joey Books,2742,W Balmoral Ave,,,,Chicago,,Out of Business,Trade Service,Media,Yes,2019,Bks Prdcls Nwsppr,773-469-7942,,POINT(-87.698313083641 41.9794934860822),-87.69831308,41.97949349,
"John A. Knoerzer, Lcsw",4910,N Lincoln Ave,,,,Chicago,,Active,Health Services,Therapy outpatient,No,2019,Indvdl Family Services,773-234-1517,,POINT(-87.6901798951621 41.9710954718811),-87.6901799,41.97109547,
John Batdorff Photography,1902,W Foster Ave,,,,Chicago,,Active,Trade Service,Photo studio,Yes,2019,,773-293-6548,,POINT(-87.6766542799327 41.9761074749416),-87.67665428,41.97610747,
John Bosche Design,2011,W Giddings St,,,,Chicago,,Out of Business,Trade Service,Media,Yes,2019,Commercial Art Gr Dsg,773-334-5432,,POINT(-87.6796824971622 41.9677895175634),-87.6796825,41.96778952,
Johnnie Blue,2619,W Lawrence Ave,,,,Chicago,,Active,Arts and Entertainment,Amusement,No,2019,,773-964-7725,,POINT(-87.6945910813479 41.9685275392827),-87.69459108,41.96852754,
Johnny Rockets Fireworks Display,4410,N Hamilton Ave,,,,Chicago,,Active,Arts and Entertainment,Performers & arts instructors,Yes,2019,Chem Prprtns Nec,847-501-1270,,POINT(-87.6823166728839 41.9618375000007),-87.68231667,41.9618375,
Josh P. Groth Photography,4531,N Claremont Ave,,,,Chicago,,Unknown,Trade Service,Photo studio,Yes,2019,Photo Stdios Prtrt,262-573-0321,,POINT(-87.6875055899 41.9641291990759),-87.68750559,41.9641292,
JPF Woodcraft & Carpentry,2103,W Farragut Ave,,,,Chicago,,Active,Trade Service,Building trades,Yes,2019,Carpentry Work,414-940-4654,,POINT(-87.6817420538343 41.9711880468696),-87.68174205,41.97118805,
Jsoft,2334,W Lawrence Ave,,,,Chicago,,Active,Trade Service,Tech service,No,2019,Software Company,773-506-4299,,POINT(-87.6879873626751 41.9686825579695),-87.68798736,41.96868256,
JT Photography,2212,W Leland Ave,,,,Chicago,,Active,Trade Service,Photo studio,Yes,2019,Photo Stdios Prtrt,773-491-7488,,POINT(-87.6846048894234 41.9668544788253),-87.68460489,41.96685448,
Juan Melendez,5029,N Mozart St,,,,Chicago,,Active,Dining,Restaurant,Yes,2019,no answer,773-784-2549,,POINT(-87.7000140966321 41.9730390315146),-87.7000141,41.97303903,
Judy Yates & Associate,1920,W Montrose Ave,,,,Chicago,,Out of Business,Dining,Cafe-Bakery-Specialty,No,2019,Acctng Audtng Bkp,773-506-2727,,POINT(-87.6770146741433 41.9615563238211),-87.67701467,41.96155632,
K's Dugout,1930,W Foster Ave,,,,Chicago,,Active,Dining,Bar-grill,No,2019,Drinking Places,773-561-2227,,POINT(-87.6777025285293 41.9760845189849),-87.67770253,41.97608452,
K&P Trading,5137,N Lincoln Ave,,,,Chicago,,Active,Retail,Other,No,2019,Jwlry Prcious Stns,773-334-4058,,POINT(-87.6922457714822 41.9751183457974),-87.69224577,41.97511835,
K4 Financial Partners,2219,W Wilson Ave,,,,Chicago,,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Other financial,No,2019,Bus  Services  Nec,773-769-2361,,POINT(-87.6849027483137 41.9648964738416),-87.68490275,41.96489647,
Kajtez Fashion Studio,5321,N Lincoln Ave,,,,Chicago,,Active,Personal Service,"Laundry, tailor",No,2019,Womens Clothng Strs,773-334-3341,,POINT(-87.6925771519057 41.9782605397948),-87.69257715,41.97826054,
Kalabogias Agency,5240,N Damen Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Insurance agency,No,2019,Fire Mrne Cslty I,872-208-7661,,POINT(-87.67951811894 41.9773345741121),-87.67951812,41.97733457,
Kalayil Property,1950,W Foster Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Lawyer's office,No,2019,Nrsdntl Building Optrs,773-398-3332,,POINT(-87.6784217215424 41.9760644861095),-87.67842172,41.97606449,
Karlin Law Firm,2501,W Lawrence Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Lawyer's office,No,2019,Legal  Services,773-878-8050,,POINT(-87.691680974612 41.9685564884313),-87.69168097,41.96855649,
KC Nails,5210,N Lincoln Ave,,,,Chicago,,Active,Personal Service,Beauty,No,2019,Beauty Shops,773-728-4849,,POINT(-87.692448649701 41.9763335459942),-87.69244865,41.97633355,
Keim Furs,1820,W Foster Ave,,,,Chicago,,Active,Retail,Clothing,No,2019,,773-561-8680,,POINT(-87.6753033799337 41.9761848682563),-87.67530338,41.97618487,
Kelly Kirles,4555,N Lincoln Ave,,,,Chicago,,Active,Fitness,Fitness art,No,2019,Ofcs Hlth Prnrs Ne,773-273-6734,,POINT(-87.685885101891 41.9646110175817),-87.6858851,41.96461102,
