Name,BuildingNumber,Street,Unit,Fraction,GeoArea,City,Zip,PlaceStatus,PlaceType,PlaceSubType,PrivateResidence,MappedYear,Note,PhoneNumber,Email,Geolocation,Lng,Lat,Website,tract_geoid
Basehit BBQ,6606,W North Ave,,,Austin,Chicago,60707,Active,Dining,Fast Food,No,2020,,773-417-7970,,POINT(-87.7906868919177 41.9091503831496),-87.79068689,41.90915038,,17031250500
Subway,2357,W Fullerton Ave,,,Logan Square,Chicago,60647,Active,Dining,Fast Food,No,2020,,773-772-3107,,POINT(-87.6870030049565 41.924838992117),-87.687003,41.92483899,,17031221600
Burgers & More,5101,W North Ave,,,Austin,Chicago,60639,Active,Dining,Fast Food,No,2020,,773-413-7424,,POINT(-87.7536310810206 41.90950052109),-87.75363108,41.90950052,https://www.facebook.com/burgersanddmore,17031250800
Uncle Remus,4731,W Madison St,,,Austin,Chicago,60644,Active,Dining,Fast Food,No,2020,,773-688-5619,,POINT(-87.744077748604 41.8804845431655),-87.74407775,41.88048454,,17031252202
Jr's Red Hots,2345,W Armitage Ave,,,Logan Square,Chicago,60647,Active,Dining,Fast Food,No,2020,,773-666-5444,,POINT(-87.6865273011994 41.9175395107167),-87.6865273,41.91753951,,17031222200
Juice Rx,1880,N Damen Ave,A,,Logan Square,Chicago,60647,Active,Dining,Fast Food,No,2020,,312-252-4938,,POINT(-87.6776189178343 41.9161126589164),-87.67761892,41.91611266,,17031832200
Subway,2300,N Milwaukee Ave,,,Logan Square,Chicago,60647,Active,Dining,Fast Food,No,2020,,773-276-9448,,POINT(-87.6974334191788 41.9229120182095),-87.69743342,41.92291202,,17031221300
Dunkin' Donuts,4547,N Broadway,,,Uptown,Chicago,60640,Active,Dining,Cafe-Bakery-Specialty,No,2020,,773-784-2500,,POINT(-87.6571274999905 41.965016537112),-87.6571275,41.96501654,,17031830700
Subway,4436,N Broadway,,,Uptown,Chicago,60640,Active,Dining,Fast Food,No,2020,,773-728-2477,,POINT(-87.6556883584811 41.9624711353098),-87.65568836,41.96247114,,17031830700
Jimmy Johns,1148,W Wilson Ave,,,Uptown,Chicago,60640,Active,Dining,Fast Food,No,2020,,773-907-2200,,POINT(-87.659049274861 41.9654721930321),-87.65904927,41.96547219,,17031830700
Jets Pizza,5058,N Clark St,,,Uptown,Chicago,60640,Active,Dining,Fast Food,No,2020,,773-784-7070,,POINT(-87.6682179765207 41.9742154226324),-87.66821798,41.97421542,,17031031000
Kentucky Fried Chicken,4804,N Sheridan Rd,,,Uptown,Chicago,60640,Active,Dining,Fast Food,No,2020,,773-916-3888,,POINT(-87.6548621303036 41.9692437641918),-87.65486213,41.96924376,,17031031200
Longacre Pizza,1303,W Wilson Ave,,,Uptown,Chicago,60640,Active,Dining,Restaurant,No,2020,,773-293-7413,,POINT(-87.6624650854912 41.9652562541932),-87.66246509,41.96525625,,17031031700
McDonald's,5130,N Sheridan Rd,,,Uptown,Chicago,60640,Active,Dining,Fast Food,No,2020,,773-275-9035,,POINT(-87.655057858831 41.9761290571662),-87.65505786,41.97612906,,17031031200
McDonald's,1004,W Wilson Ave,,,Uptown,Chicago,60640,Active,Dining,Fast Food,No,2020,,773-275-9885,,POINT(-87.6550244379092 41.9655018555933),-87.65502444,41.96550186,,17031830700
Ruby's Fast Food,3740,W Montrose Ave,,,Albany Park,Chicago,60618,Active,Dining,Fast Food,No,2020,,773-539-2669,,POINT(-87.722154167364 41.9610554933584),-87.72215417,41.96105549,,17031140602
Hot Dog Station,4742,N Kimball Ave,,,Albany Park,Chicago,60625,Active,Dining,Fast Food,No,2020,,773-588-2580,,POINT(-87.7133874689804 41.9678629943109),-87.71338747,41.96786299,,17031140701
Subway,3348,W Lawrence Ave,,,Albany Park,Chicago,60625,Active,Dining,Fast Food,No,2020,,773-267-6969,,POINT(-87.7130320280803 41.9684324858233),-87.71303203,41.96843249,,17031140200
Wendys,4412,N Pulaski Rd,,,Albany Park,Chicago,60630,Active,Dining,Fast Food,No,2020,,773-283-7687,,POINT(-87.7278674103502 41.9614182398681),-87.72786741,41.96141824,,17031140500
China Cafe Chinese Restaurant,4818,N Sheridan Rd,,,Uptown,Chicago,60640,Active,Dining,Fast Food,No,2020,,773-275-8480,,POINT(-87.6548665769643 41.969497223405),-87.65486658,41.96949722,http://www.chinacafe-il.com,17031031200
Subway,5062,N Sheridan Rd,,,Uptown,Chicago,60640,Active,Dining,Fast Food,No,2020,,773-561-3800,,POINT(-87.6550274867912 41.9750465557008),-87.65502749,41.97504656,,17031031200
Subway,4556,N Magnolia Ave,,,Uptown,Chicago,60640,Active,Dining,Fast Food,No,2020,,773-989-0005,,POINT(-87.6610054866479 41.9645598860274),-87.66100549,41.96455989,,17031031700
The Freeze,2815,W Armitage Ave,,,Logan Square,Chicago,60647,Active,Dining,Fast Food,No,2020,,773-384-5211,,POINT(-87.6980352 41.9173274),-87.6980352,41.9173274,,17031222500
Subway,1768,W Armitage Ave,,,Logan Square,Chicago,60622,Active,Dining,Fast Food,No,2020,,773-235-1800,,POINT(-87.672214 41.9180676),-87.672214,41.9180676,,17031832300
Dunkin' Donuts,1768,W Armitage Ave,,,Logan Square,Chicago,60622,Active,Dining,Fast Food,No,2020,,708-978-7563,,POINT(-87.672214 41.9180676),-87.672214,41.9180676,,17031832300
Burger King,2701,N Western Ave,,,Logan Square,Chicago,60647,Active,Dining,Fast Food,No,2020,,773-235-3376,,POINT(-87.687553 41.930633),-87.687553,41.930633,,17031830900
McDonald's,1951,N Western Ave,,,Logan Square,Chicago,60647,Active,Dining,Fast Food,No,2020,,773-276-2366,,POINT(-87.6869648 41.9171615),-87.6869648,41.9171615,,17031222200
Marcela's Restaurant,3503,W Fullerton Ave,,,Logan Square,Chicago,60647,Active,Dining,Fast Food,No,2020,,773-252-6333,,POINT(-87.7140482 41.9244259),-87.7140482,41.9244259,,17031221000
Festa Pizza,3525,W Fullerton Ave,,,Logan Square,Chicago,60647,Active,Dining,Fast Food,No,2020,,773-252-8174,,POINT(-87.71479 41.924465),-87.71479,41.924465,,17031221000
Dominos Pizza,2455,W Fullerton Ave,,,Logan Square,Chicago,60647,Active,Dining,Fast Food,No,2020,,773-276-9800,,POINT(-87.6895927 41.9245573),-87.6895927,41.9245573,,17031221500
Papa Ray's Pizza & Wings,2551,W Fullerton Ave,,,Logan Square,Chicago,60647,Out of Business,Dining,Fast Food,No,2020,,773-661-2113,,POINT(-87.6917979 41.9246407),-87.6917979,41.9246407,,17031221500
Potbelly,2739,N Elston Ave,,,Logan Square,Chicago,60647,Active,Dining,Fast Food,No,2020,,773-489-2535,,POINT(-87.686066 41.931597),-87.686066,41.931597,,17031830900
Chipotle Mexican Grill,2743,N Elston Ave,,,Logan Square,Chicago,60647,Active,Dining,Fast Food,No,2020,,773-661-0250,,POINT(-87.6863815 41.9316685),-87.6863815,41.9316685,,17031830900
McDonald's,2701,N Milwaukee Ave,,,Logan Square,Chicago,60647,Active,Dining,Fast Food,No,2020,,773-342-4052,,POINT(-87.709194 41.930518),-87.709194,41.930518,,17031220602
Popeyes Louisiana Kitchen,1949,W Fullerton Ave,,,Logan Square,Chicago,60614,Active,Dining,Fast Food,No,2020,,773-235-4545,,POINT(-87.6775133 41.9248234),-87.6775133,41.9248234,,17031832300
Baba's Famous Steak & Lemonade,5360,W Division St,,,Austin,Chicago,60651,Out of Business,Dining,Fast Food,No,2020,,773-417-7383,,POINT(-87.7605345 41.9024978),-87.7605345,41.9024978,,17031250700
Ray's Chicken Fish and Steak,7901,S Damen Ave,,,Auburn Gresham,Chicago,60620,Active,Dining,Fast Food,No,2020,,,,POINT(-87.672865 41.7500685),-87.672865,41.7500685,,17031710500
Patron Mexican Grill & More,5300,W Madison St,,,Austin,Chicago,60644,Unknown,Dining,Fast Food,No,2020,"No online presence related to this address except for Seafood Junction, unable to confirm, other places have the same name, number was unavailable.
8/11/20
Called the phone number at 10:18AM but it didnâ€™t even ring before disconnecting. Only online presence is a google image captured in Oct of 2019.",773-921-1111,,POINT(-87.7577732 41.880595),-87.7577732,41.880595,,17031251900
Little Mel's,2205,N California Ave,,,Logan Square,Chicago,60647,Active,Dining,Fast Food,No,2020,,773-342-7378,,POINT(-87.6971524 41.9220014),-87.6971524,41.9220014,,17031221400
Subway,2300,N California Ave,,,Logan Square,Chicago,60647,Active,Dining,Fast Food,No,2020,,,,POINT(-87.697517 41.923203),-87.697517,41.923203,,17031221300
El Taconaz El Tio,3529,W Fullerton Ave,,,Logan Square,Chicago,60647,Active,Dining,Fast Food,No,2020,,773-312-8272,,POINT(-87.714866 41.9244131),-87.714866,41.9244131,,17031221000
El Gran Burrito,1209,S Pulaski Rd,,,North Lawndale,Chicago,60623,Active,Dining,Fast Food,No,2020,,773-277-8090,,POINT(-87.7250052 41.8657665),-87.7250052,41.8657665,,17031838700
Cilantro Taco House,3336,W Lawrence Ave,,,Albany Park,Chicago,60625,Active,Dining,Fast Food,No,2020,,773-588-5080,,POINT(-87.7123246380318 41.9684414859022),-87.71232464,41.96844149,,17031140200
Dunkin' Donuts,4755,N Kimball Ave,,,Albany Park,Chicago,60625,Active,Dining,Fast Food,No,2020,,872-588-4935,,POINT(-87.7132762862943 41.9674382487945),-87.71327629,41.96743825,,17031140701
Little Caesar's Pizza,4445,N Pulaski Rd,A,,Albany Park,Chicago,60630,Active,Dining,Fast Food,No,2020,,773-539-8505,,POINT(-87.7278084835625 41.9621980551093),-87.72780848,41.96219806,http:/littlecaesars.com,17031140601
McDonald's,3855,W Lawrence Ave,,,Albany Park,Chicago,60625,Active,Dining,Fast Food,No,2020,,773-866-0523,,POINT(-87.7251947642764 41.9681900829969),-87.72519476,41.96819008,,17031140601
Popeyes Chicken & Biscuits,3352,W Lawrence Ave,,,Albany Park,Chicago,60625,Active,Dining,Fast Food,No,2020,,773-539-9289,,POINT(-87.7126229999786 41.9684315113434),-87.712623,41.96843151,,17031140200
Subway,4101,W Lawrence Ave,,,Albany Park,Chicago,60630,Active,Dining,Fast Food,No,2020,,773-685-0777,,POINT(-87.730622025897 41.9681765397444),-87.73062203,41.96817654,,17031140500
Shibam City,4807,N Elston Ave,,,Albany Park,Chicago,60630,Active,Dining,Fast Food,No,2020,,773-977-7272,,POINT(-87.7403546207218 41.968269051516),-87.74035462,41.96826905,https://shibam.com,17031140400
Big Tony,5611,W Lake St,,,Austin,Chicago,60644,Active,Dining,Fast Food,No,2020,,,,POINT(-87.7656191 41.8870484),-87.7656191,41.8870484,,17031252000
Chicago Submarine,4805,W Chicago Ave,,,Austin,Chicago,60651,Active,Dining,Fast Food,No,2020,,773-287-9490,,POINT(-87.7460824 41.8947607),-87.7460824,41.8947607,,17031251700
Flavors Southern Cooking,5721,W Division St,,,Austin,Chicago,60651,Active,Dining,Fast Food,No,2020,,773-379-0909,,POINT(-87.7689861 41.9019773),-87.7689861,41.9019773,,17031251300
LP Submarine,513,E 47th St,,,Grand Boulevard,Chicago,60653,Active,Dining,Fast Food,No,2020,,773-285-4044,,POINT(-87.6133177 41.8093174),-87.6133177,41.8093174,,17031381200
Burger King,733,E 47th St,,,Grand Boulevard,Chicago,60653,Out of Business,Dining,Fast Food,No,2020,,872-777-4585,,POINT(-87.6074722 41.8093263),-87.6074722,41.8093263,www.economyroofing.us/,17031843600
Sunny Sub,5140,W Madison St,,,Austin,Chicago,60644,Active,Dining,Fast Food,No,2020,,773-287-1100,,POINT(-87.754394 41.880661),-87.754394,41.880661,,17031251800
Jimmy's Best,6201,S Ashland Ave,,,West Englewood,Chicago,60636,Active,Dining,Fast Food,No,2020,,773-869-5300,,POINT(-87.6638599 41.781125),-87.6638599,41.781125,,17031670800
LB's & Family,5451,W Madison St,,,Austin,Chicago,60644,Active,Dining,Fast Food,No,2020,,773-413-7766,,POINT(-87.7620916 41.880065),-87.7620916,41.880065,,17031252102
Brother's Submarine,1158,W 63rd St,,,West Englewood,Chicago,60621,Active,Dining,Fast Food,No,2020,,773-476-6282,,POINT(-87.6576185 41.7795567),-87.6576185,41.7795567,,17031834900
Jimmy's Food & Deli,5601,W Madison St,,,Austin,Chicago,60644,Active,Dining,Fast Food,No,2020,,773-413-7464,,POINT(-87.7651479 41.8797948),-87.7651479,41.8797948,,17031252101
Harold's Chicken Shack,5608,S Ashland Ave,,,West Englewood,Chicago,60636,Active,Dining,Fast Food,No,2020,,773-424-3828,,POINT(-87.6647788 41.7918196),-87.6647788,41.7918196,,17031670300
Jimmy's Famous Burgers,5042,S Cottage Grove Ave,,,Grand Boulevard,Chicago,60625,Active,Dining,Fast Food,No,2020,,312-878-8884,,POINT(-87.607242 41.8026191),-87.607242,41.8026191,Http://menupages.com,17031843600
The Hoagie Place,8147,S Halsted St,,,Auburn Gresham,Chicago,60620,Active,Dining,Fast Food,No,2020,,773-994-7714,,POINT(-87.6434295 41.7456212),-87.6434295,41.7456212,,17031710900
Bitoys Bistro,5946,W Chicago Ave,,,Austin,Chicago,60651,Active,Dining,Fast Food,No,2020,Temp Closed.,773-887-3057,,POINT(-87.7742002 41.8949142),-87.7742002,41.8949142,bitoysbrands.com,17031251300
Red Snappers,5601,W Division St,,,Austin,Chicago,60651,Active,Dining,Fast Food,No,2020,,773-261-0166,,POINT(-87.7658554 41.9018182),-87.7658554,41.9018182,,17031251300
KFC,6034,W North Ave,,,Austin,Chicago,60639,Active,Dining,Fast Food,No,2020,,773-887-4458,,POINT(-87.7768521 41.9094987),-87.7768521,41.9094987,,17031250400
North Avenue Falafel,6814,W North Ave,,,Austin,Chicago,60707,Active,Dining,Fast Food,No,2020,,773-825-9849,,POINT(-87.7954881 41.9093918),-87.7954881,41.9093918,,17031250500
Subway,4351,W Armitage Ave,,,Hermosa,Chicago,60639,Active,Dining,Fast Food,No,2020,,773-227-7770,,POINT(-87.7359215 41.9166938),-87.7359215,41.9166938,subway.com,17031831200
BBQ On Demand Mr. Gee's,4436,W Fullerton Ave,,,Hermosa,Chicago,60639,Active,Dining,Fast Food,No,2020,,773-235-1166,,POINT(-87.738228 41.924541),-87.738228,41.924541,,17031200200
Burger King,4514,W Diversey Ave,,,Hermosa,Chicago,60639,Active,Dining,Fast Food,No,2020,,773-202-8055,,POINT(-87.7399817 41.9319118),-87.7399817,41.9319118,,17031200100
TBT Mexican Restaurant,108,E 47th St,,,Grand Boulevard,Chicago,60653,Active,Dining,Fast Food,No,2020,,773-916-1628,,POINT(-87.6223298 41.8093833),-87.6223298,41.8093833,Https://tbt-tacosburritos-tortas.business.com,17031381500
Subway,3924,S Archer Ave,C,,Brighton Park,Chicago,60632,Active,Dining,Fast Food,No,2020,,,,POINT(-87.6914233 41.8224078),-87.6914233,41.8224078,order.subway.com/en-US/locator,17031580600
Jr. Jamaican Tropical Cafe,8010,S Ashland Ave,,,Auburn Gresham,Chicago,60620,Active,Dining,Fast Food,No,2020,,773-874-4945,,POINT(-87.6637554 41.7481072),-87.6637554,41.7481072,,17031710500
The Submarine Pier,4048,S California Ave,,,Brighton Park,Chicago,60618,Active,Dining,Fast Food,No,2020,,773-890-4733,,POINT(-87.6948583 41.8205211),-87.6948583,41.8205211,,17031580501
Sunny Submarine,5542,W North Ave,,,Austin,Chicago,60639,Active,Dining,Fast Food,No,2020,,773-622-8240,,POINT(-87.7647058 41.9096124),-87.7647058,41.9096124,,17031250300
Papa Johns,2020,N California Ave,2,,Logan Square,Chicago,60647,Active,Dining,Fast Food,No,2020,,773-645-7272,,POINT(-87.697631 41.9181135),-87.697631,41.9181135,https://www.papajohns.com/,17031221300
China Fast Wok,2020,N California Ave,8,,Logan Square,Chicago,60647,Active,Dining,Fast Food,No,2020,,773-227-6888,,POINT(-87.697631 41.9181135),-87.697631,41.9181135,http://www.chinafastwok.com/,17031221300
George's Hot Dogs,1876,N Damen Ave,,,Logan Square,Chicago,60647,Active,Dining,Fast Food,No,2020,,773-227-4034,,POINT(-87.6778161 41.9160621),-87.6778161,41.9160621,,17031832200
My Pie,2010,N Damen Ave,E,,Logan Square,Chicago,60647,Active,Dining,Fast Food,No,2020,,773-394-6900,,POINT(-87.6780881 41.9183605),-87.6780881,41.9183605,,17031832200
Mikkey's Retro Grill,5319,S Hyde Park Blvd,,,Hyde Park,Chicago,60615,Active,Dining,Fast Food,No,2020,,773-675-8525,,POINT(-87.5835641 41.799308),-87.5835641,41.799308,mikkeys.com/locations/hyde-park/,17031410900
Church's Chicken,4812,W North Ave,,,Austin,Chicago,60639,Active,Dining,Fast Food,No,2020,,773-622-6281,,POINT(-87.7465523 41.9099596),-87.7465523,41.9099596,,17031250200
Vienna,5965,W Chicago Ave,,,Austin,Chicago,60651,Active,Dining,Fast Food,No,2020,,312-778-1061,,POINT(-87.77487 41.894484),-87.77487,41.894484,,17031251400
Subway,3946,W Ogden Ave,,,North Lawndale,Chicago,60623,Active,Dining,Fast Food,No,2020,,,,POINT(-87.7238165 41.8514059),-87.7238165,41.8514059,,17031843400
Original Maxwell Street,246,S Cicero Ave,,,Austin,Chicago,60644,Active,Dining,Fast Food,No,2020,,773-309-8234,,POINT(-87.7454865 41.877319),-87.7454865,41.877319,,17031252202
Wendy's,8300,S Ashland Ave,,,Auburn Gresham,Chicago,60620,Active,Dining,Fast Food,No,2020,,773-239-4071,,POINT(-87.6635746 41.7427529),-87.6635746,41.7427529,,17031711200
Whale Fish & Chicken,1828,W 79th St,,,Auburn Gresham,Chicago,60620,Active,Dining,Fast Food,No,2020,,773-723-3574,,POINT(-87.6699604 41.7505327),-87.6699604,41.7505327,,17031710400
White Castle,1400,W 79th St,,,Auburn Gresham,Chicago,60620,Active,Dining,Fast Food,No,2020,,773-651-1763,,POINT(-87.6589222 41.750756),-87.6589222,41.750756,,17031710300
White Castle,6646,S Halsted St,,,Englewood,Chicago,60621,Active,Dining,Fast Food,No,2020,,773-873-1855,,POINT(-87.6450677 41.7728729),-87.6450677,41.7728729,,17031681000
Burger King,4910,W North Ave,,,Austin,Chicago,60639,Active,Dining,Fast Food,No,2020,,773-887-3138,,POINT(-87.7496144 41.909958),-87.7496144,41.909958,,17031250200
Tony's Carryouts,101,E 47th St,,,Grand Boulevard,Chicago,60653,Active,Dining,Fast Food,No,2020,,773-285-5235,,POINT(-87.6226193 41.809179),-87.6226193,41.809179,,17031381400
Uncle Joe's Jerk Chicken,1461,E Hyde Park Blvd,,,Hyde Park,Chicago,60615,Active,Dining,Fast Food,No,2020,,773-241-5550,,POINT(-87.5894226 41.8022072),-87.5894226,41.8022072,unclejoesjerk.com,17031410100
Uncle J's BBQ,502,E 47th St,,,Grand Boulevard,Chicago,60653,Active,Dining,Fast Food,No,2020,,773-952-8276,,POINT(-87.6135184 41.8096139),-87.6135184,41.8096139,,17031381200
Uncle Remus Chicken,737,E 47th St,,,Grand Boulevard,Chicago,60653,Active,Dining,Fast Food,No,2020,,773-966-6838,,POINT(-87.6073693 41.8093676),-87.6073693,41.8093676,,17031843600
Union Sub,110,E 51st St,,,Grand Boulevard,Chicago,60615,Active,Dining,Fast Food,No,2020,,773-373-2040,,POINT(-87.6223003 41.8021374),-87.6223003,41.8021374,,17031381800
University of Chicago - Hutchinson Commons,1131,E 57th St,,,Hyde Park,Chicago,60637,Active,Dining,Fast Food,No,2020,TEMP CLOSED,773-834-1018,,POINT(-87.5982604 41.791237),-87.5982604,41.791237,,17031836200
Valois Restaurant,1518,E 53rd St,,,Hyde Park,Chicago,60615,Active,Dining,Fast Food,No,2020,,773-667-0647,,POINT(-87.5883252 41.79966),-87.5883252,41.79966,,17031410800
Island Fish and Chicken,6701,S Racine Ave,,,Englewood,Chicago,60636,Active,Dining,Fast Food,No,2020,,773-994-2201,,POINT(-87.6540612 41.7721446),-87.6540612,41.7721446,,17031681100
JJ Fish & Chicken,201,E 43rd St,,,Grand Boulevard,Chicago,60653,Unknown,Dining,Fast Food,No,2020,,773-285-1841,,POINT(-87.6209133 41.8163905),-87.6209133,41.8163905,,17031835800
Jamaican Jerk Villa,737,W 79th St,,,Auburn Gresham,Chicago,60620,Active,Dining,Fast Food,No,2020,,773-651-2240,,POINT(-87.643044 41.7505101),-87.643044,41.7505101,,17031710900
Jimmy John's Gourmet Sandwiches,1519,E 55th St,,,Hyde Park,Chicago,60615,Active,Dining,Fast Food,No,2020,,773-241-5190,,POINT(-87.5882766 41.795046),-87.5882766,41.795046,jimmyjohns.com,17031411100
John's Drive-In,5900,S Ashland Ave,,,West Englewood,Chicago,60636,Active,Dining,Fast Food,No,2020,,773-925-6177,,POINT(-87.6646039 41.7865108),-87.6646039,41.7865108,,17031670700
Kennedy Fish and Chicken,112,E 47th St,,,Grand Boulevard,Chicago,60653,Active,Dining,Fast Food,No,2020,,773-536-8000,,POINT(-87.6221456 41.8094367),-87.6221456,41.8094367,,17031381500
50/50 Foods,6129,S Ashland Ave,,,West Englewood,Chicago,60636,Unknown,Dining,Fast Food,No,2020,Phone number is disconnected,773-306-1502,,POINT(-87.663777 41.782168),-87.663777,41.782168,,17031670800
KFC,1914,W 79th St,,,Auburn Gresham,Chicago,60620,Active,Dining,Fast Food,No,2020,,773-952-7689,,POINT(-87.671405 41.7504647),-87.671405,41.7504647,,17031710400
KFC,2021,E 83rd St,,,South Chicago,Chicago,60617,Moved,Dining,Fast Food,No,2020,"Originally mapped as 2021 E 83rd, same restaurant wrong address/street",312-731-3940,,POINT(-87.5748845 41.7442505),-87.5748845,41.7442505,kfc.com,17031460500
KFC,1600,W Marquette Rd,,,West Englewood,Chicago,60636,Active,Dining,Fast Food,No,2020,,773-498-6637,,POINT(-87.6645283 41.7724142),-87.6645283,41.7724142,,17031671500
Krispy's Seafood & Chicken,6237,S Union Ave,B,,Englewood,Chicago,60621,Active,Dining,Fast Food,No,2020,,773-224-2222,,POINT(-87.6424643 41.7804914),-87.6424643,41.7804914,,17031680900
