Name,BuildingNumber,Street,Unit,Fraction,GeoArea,City,Zip,PlaceStatus,PlaceType,PlaceSubType,PrivateResidence,MappedYear,Note,PhoneNumber,Email,Geolocation,Lng,Lat,Website
Divas R Us Productions,544,E 86th Pl,,,,Chicago,,Unknown,Trade Service,Media,Yes,2019,Beauty Shops,708-798-6386,,POINT(-87.6103261 41.7376909),-87.6103261,41.7376909,
Djsa Mac & Company,8858,S Wabash Ave,,,,Chicago,60619,Out of Business,Unknown,Unknown,Yes,2019,Grcrs Rltd Prds N,773-994-5513,,POINT(-87.6228222 41.732857),-87.6228222,41.732857,
DLM Management,57,E 87th St,B,,,Chicago,60619,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Property service office,Yes,2019,Ofcs Clns of Dntst,,,POINT(-87.6218967 41.736181),-87.6218967,41.736181,
Dock's Restaurant,112,W 87th St,,,,Chicago,,Active,Dining,Restaurant,No,2019,Homefurnishings,773-224-0930,,POINT(-87.6274302 41.7376361),-87.6274302,41.7376361,
Doctors McCullom,820,E 87th St,Ste 201,,,Chicago,,Active,Health Services,Out-patient,Yes,2019,Svcs Alld Mtn Pict,773-488-3738,,POINT(-87.6038951 41.7369758),-87.6038951,41.7369758,
Doll's Hair Salon,8429,S Cottage Grove Ave,,,,Chicago,,Active,Personal Service,Beauty,No,2019,,773-783-0960,,POINT(-87.6047179 41.741164),-87.6047179,41.741164,
Dollar Tree,112,W 87th St,Ste 1,,,Chicago,,Active,Retail,Small mixed,No,2019,Cn-Oprtd Lndrs Cln,773-874-0700,,POINT(-87.6274302 41.7376361),-87.6274302,41.7376361,
Dollar Tree,8517,S Cottage Grove Ave,,,,Chicago,,Active,Retail,Small mixed,No,2019,,,,POINT(-87.6046862 41.7396478),-87.6046862,41.7396478,
Domino's Pizza,8149,S Cottage Grove Ave,,,,Chicago,60619,Out of Business,Dining,Fast Food,No,2019,,,,POINT(-87.6045392 41.7460781),-87.6045392,41.7460781,
Donnegan's Home Day Care,836,E 89th Pl,,,,Chicago,60619,Out of Business,Childcare and Schools,Home daycare,Yes,2019,,773-846-5677,,POINT(-87.6031508 41.7323331),-87.6031508,41.7323331,
Downtown Locker Room,205,W 87th St,J,,,Chicago,,Active,Retail,Clothing,No,2019,Eating Places,773-783-5549,,POINT(-87.6293582 41.7349547),-87.6293582,41.7349547,
Dr Ifeoma Okorafor's Chiropractic Practice,8425,S Cottage Grove Ave,,,,Chicago,60619,Out of Business,Health Services,Chiropractor,No,2019,,773-723-3300,,POINT(-87.6045156 41.7413256),-87.6045156,41.7413256,
Dream Creations,8613,S Cottage Grove Ave,,,,Chicago,,Active,Retail,Gift-art-ethnic,No,2019,,773-723-7326,,POINT(-87.604478 41.738017),-87.604478,41.738017,
Dream Hair,8622,S Maryland Ave,,,,Chicago,,Active,Personal Service,Beauty,Yes,2019,Wmns Cldrns Clthng,773-403-0016,,POINT(-87.6038838 41.7377515),-87.6038838,41.7377515,
Drexel Food Mart,901,E 79th St,,,,Chicago,,Active,Retail,Convenience,No,2019,,872-465-3834,,POINT(-87.602631 41.7511969),-87.602631,41.7511969,
Drop In Lounge,551,E 79th St,,,,Chicago,60619,Active,Arts and Entertainment,Club-lounge-bar,No,2019,,773-994-4545,,POINT(-87.6104741 41.7510961),-87.6104741,41.7510961,
Duke's Cocktail Lounge,121,E 79th St,,,,Chicago,,Active,Arts and Entertainment,Club-lounge-bar,No,2019,,773-874-6343,,POINT(-87.6204505 41.7508231),-87.6204505,41.7508231,
Dunkin' Donuts,207,W 79th St,,,,Chicago,,Active,Dining,Cafe-Bakery-Specialty,No,2019,Sngl-Fam Hsng Cnstr,773-994-4824,,POINT(-87.6298401 41.7506863),-87.6298401,41.7506863,
Dunkin' Donuts,120,W 87th St,C2,,,Chicago,,Active,Dining,Cafe-Bakery-Specialty,No,2019,,773-846-5891,,POINT(-87.6275487 41.7365295),-87.6275487,41.7365295,
E & S Vision Developments,448,E 91st Pl,,,,Chicago,60619,Out of Business,Unknown,Unknown,Yes,2019,,773-783-0450,,POINT(-87.6123704 41.7285202),-87.6123704,41.7285202,
Earl's Property Preservations,8721,S State St,,,,Chicago,60619,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Property service office,No,2019,Drinking Places,773-729-4237,,POINT(-87.6238248 41.7356765),-87.6238248,41.7356765,
EAS Alarm Systems Specialist,8123,S Vernon Ave,,,,Chicago,60619,Out of Business,Unknown,Unknown,Yes,2019,Engineering Services,773-651-9258,,POINT(-87.613235 41.746773),-87.613235,41.746773,
Eberhart Dental Building,457,E 87th St,,,,Chicago,,Active,Health Services,Dentist,No,2019,Legal  Services,773-994-4433,,POINT(-87.6123319 41.7363331),-87.6123319,41.7363331,
"Edith Chaffin, MD",8425,S Cottage Grove Ave,,,,Chicago,,Active,Health Services,Out-patient,No,2019,Eating Places,773-487-3017,,POINT(-87.6045156 41.7413256),-87.6045156,41.7413256,
"Edward Toliver, DDS",536,E 87th St,,,,Chicago,,Out of Business,Health Services,Dentist,No,2019,Transportation  Services Ne,773-651-0522,,POINT(-87.6106507 41.7367663),-87.6106507,41.7367663,
Effortless Style Studio,424,E 87th St,,,,Chicago,,Active,Retail,Clothing,No,2019,Liquor Stores,773-902-1900,,POINT(-87.6135083 41.7367656),-87.6135083,41.7367656,
Elegance Plus,8756,S Cottage Grove Ave,,,,Chicago,,Active,Personal Service,Beauty,No,2019,Nondurable Gds Nec,773-783-3300,,POINT(-87.6050798 41.7350165),-87.6050798,41.7350165,
Elmer S. Redd & Associates,7901,S Dobson Ave,,,,Chicago,,Unknown,"Financial, Insurance, Real Estate, Legal, and Professional",Insurance agency,Yes,2019,,773-874-1912,,POINT(-87.5986549 41.751057),-87.5986549,41.751057,
Empowerment Connection,8410,S Wabash Ave,,,,Chicago,60619,Out of Business,Unknown,Unknown,Yes,2019,Hobby Toy Game Sh,773-488-1264,,POINT(-87.6230536 41.7414522),-87.6230536,41.7414522,
Empress Home Healthcare,8211,S Champlain Ave,,,,Chicago,,Active,Health Services,Mobile health service,Yes,2019,No indication of business. I see it’s active in in Naperville,,,POINT(-87.6083833 41.7453461),-87.6083833,41.7453461,
Enterprise Rent-A-Car,8658,S Cottage Grove Ave,,,,Chicago,60619,Out of Business,"Wholesale, storage and transit",Vehicle rental,No,2019,No evidence of business,773-783-6158,,POINT(-87.605293 41.7369585),-87.605293,41.7369585,
Enviropure Properties and Realty,8136,S Yale Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Property service office,Yes,2019,Insurance Carriers,773-525-9825,,POINT(-87.6308426 41.7460822),-87.6308426,41.7460822,
Ephphatha Lutheran Church of the Deaf,7956,S Martin Luther King Dr,,,,Chicago,,Active,Religious (except school or residence),Church,No,2019,,773-723-3232,,POINT(-87.6153283 41.7496012),-87.6153283,41.7496012,
Ericka's Day Care,8051,S Wabash Ave,,,,Chicago,,Unknown,Childcare and Schools,Home daycare,Yes,2019,,773-356-8206,,POINT(-87.6225523 41.7476604),-87.6225523,41.7476604,
Especially For You Gift Basket,8145,S Prairie Ave,,,,Chicago,60619,Out of Business,Unknown,Unknown,Yes,2019,Commercial Prtng Lith,773-775-7663,,POINT(-87.6176485 41.7460921),-87.6176485,41.7460921,
Espies Stitchery,8318,S Indiana Ave,,,,Chicago,60619,Out of Business,Trade Service,Other repair,Yes,2019,Bus  Services  Nec,708-845-1159,,POINT(-87.6198913 41.7430971),-87.6198913,41.7430971,
Estelle Mcghee Foundation for Youth,718,E 89th St,,,,Chicago,60619,Out of Business,Social Services & Political Advocacy,Child welfare,Yes,2019,Furniture Stores,,,POINT(-87.6063528 41.7331771),-87.6063528,41.7331771,
Evolution Investment Re Group,8042,S Calumet Ave,,,,Chicago,,Unknown,"Financial, Insurance, Real Estate, Legal, and Professional",Other financial,Yes,2019,,,,POINT(-87.6168445 41.74797),-87.6168445,41.74797,
Express Beauty Supply,51,W 79th St,,,,Chicago,,Active,Retail,Beauty-Accessory,No,2019,Signs Advt Spcltie,773-723-0300,,POINT(-87.6266233 41.7505706),-87.6266233,41.7505706,
Exquisite Gift Bags Baskets By,7941,S Dobson Ave,APT 1w,,,Chicago,,Unknown,Retail,Gift-art-ethnic,Yes,2019,State Commercial Banks,773-355-9101,,POINT(-87.598761 41.7501253),-87.598761,41.7501253,
Extra Space Storage,1040,E 87th St,,,,Chicago,,Active,"Wholesale, storage and transit",Public storage,No,2019,Pltry Slghtrng Proc,888-786-7243,,POINT(-87.5988104 41.7372767),-87.5988104,41.7372767,
Fabulous Fades Barber Shop,9016,S Cottage Grove Ave,,,,Chicago,,Active,Personal Service,Beauty,No,2019,,,,POINT(-87.604964 41.7305825),-87.604964,41.7305825,
Fade Away,8746,S Cottage Grove Ave,,,,Chicago,,Active,Personal Service,Beauty,No,2019,,773-224-3745,,POINT(-87.6051183 41.7352506),-87.6051183,41.7352506,
Faith Enterprises,8351,S Prairie Ave,,,,Chicago,60619,Out of Business,Unknown,Unknown,Yes,2019,Ofcs Clns of Mdl D,,,POINT(-87.6175773 41.742272),-87.6175773,41.742272,
Falcon Fuel,8301,S Cottage Grove Ave,,,,Chicago,,Active,Retail,Gas station,No,2019,,773-783-3666,,POINT(-87.6045509 41.7436446),-87.6045509,41.7436446,
Falou African Hair Braiding,447,E 79th St,,,,Chicago,,Active,Personal Service,Beauty,No,2019,,773-651-8060,,POINT(-87.6130705 41.7510026),-87.6130705,41.7510026,
Family Dollar,364,E 87th St,,,,Chicago,,Active,Retail,Small mixed,No,2019,Child Day Care Services,773-962-0414,,POINT(-87.6153211 41.7366865),-87.6153211,41.7366865,
Family Dollar,8341,S Cottage Grove Ave,,,,Chicago,60619,Out of Business,Retail,Small mixed,No,2019,Misc Food Stores,773-783-3070,,POINT(-87.6046037 41.74292),-87.6046037,41.74292,
Family Food Market & Cellular,8900,S Cottage Grove Ave,,,,Chicago,,Out of Business,Retail,Small Grocery,No,2019,,773-675-4468,,POINT(-87.605143 41.7328649),-87.605143,41.7328649,
Family Food Mart,8000,S Cottage Grove Ave,,,,Chicago,60619,Out of Business,Retail,Convenience,No,2019,,773-488-0321,,POINT(-87.605387 41.7493477),-87.605387,41.7493477,
Fearfully and Wonderfully Made,7948,S Indiana Ave,,,,Chicago,60619,Out of Business,Childcare and Schools,Kid Center,Yes,2019,Musical Instrmt Str,773-723-5634,,POINT(-87.6201227 41.7495922),-87.6201227,41.7495922,
Featherfist,9020,S Langley Ave,,,,Chicago,60619,Active,Service or Programmed Residential Space,Shelter,No,2019,,773-891-5667,,POINT(-87.6073019 41.7304536),-87.6073019,41.7304536,
Female Healthcare Associates,8245,S Martin Luther King Dr,,,,Chicago,,Active,Health Services,Out-patient,No,2019,,,,POINT(-87.6144142 41.7443228),-87.6144142,41.7443228,
Firehouse of Dan Ryan,100,W 87th St,,,,Chicago,,Active,Dining,Fast Food,No,2019,Eating Places,773-874-5003,,POINT(-87.6270117 41.7365184),-87.6270117,41.7365184,
Firehouse Steak & Lemonade,601,E 79th St,,,,Chicago,60619,Out of Business,Dining,Fast Food,No,2019,,,,POINT(-87.6096561 41.750862),-87.6096561,41.750862,
First Cumberland Presbyterian,7941,S Martin Luther King Dr,,,,Chicago,,Out of Business,Religious (except school or residence),Church,No,2019,,773-488-5528,,POINT(-87.6145542 41.7498362),-87.6145542,41.7498362,
First Security Plus,8020,S Martin Luther King Dr,,,,Chicago,,Active,Trade Service,Security,No,2019,Drct Sllng Estbmnts   No indication of business,773-783-9147,,POINT(-87.6154368 41.7485433),-87.6154368,41.7485433,
Fisherman's Island,432,E 87th St,,,,Chicago,,Active,Dining,Fast Food,No,2019,Misc Rtl Strs Nec,773-873-7777,,POINT(-87.6130983 41.7367116),-87.6130983,41.7367116,
Flawless,8222,S Martin Luther King Dr,Ste 1f,,,Chicago,60619,Out of Business,Unknown,Unknown,Yes,2019,grace called 8/24. wrong number. Don't call back. Rude,312-929-7076,,POINT(-87.6153596 41.7449662),-87.6153596,41.7449662,
Food 4 Less,112,W 87th St,Ste G1,,,Chicago,,Active,Retail,Large grocery,No,2019,Sngl-Fam Hsng Cnstr,773-358-4180,,POINT(-87.6274302 41.7376361),-87.6274302,41.7376361,
Food Mart,313,W 79th St,,,,Chicago,60620,Out of Business,Retail,Small Grocery,No,2019,Rfng Sdng Sht Mtl,773-783-4880,,POINT(-87.6325491 41.7507939),-87.6325491,41.7507939,
Food Town Supermarket,935,E 79th St,,,,Chicago,,Active,Retail,Small Grocery,No,2019,Furniture Stores,773-994-1136,,POINT(-87.6013183 41.7510483),-87.6013183,41.7510483,
Foot Locker,8651,S Cottage Grove Ave,,,,Chicago,,Active,Retail,Shoes,No,2019,Civic Social Assns,773-783-8578,,POINT(-87.6045154 41.7369613),-87.6045154,41.7369613,
Footaction,112,W 87th St,Ste L3,,,Chicago,,Active,Retail,Shoes,No,2019,Bus  Services  Nec,773-224-3258,,POINT(-87.6274302 41.7376361),-87.6274302,41.7376361,
Foster S. Contractor,8045,S Champlain Ave,,,,Chicago,60619,Out of Business,Unknown,Unknown,Yes,2019,Eating Places,773-994-8772,,POINT(-87.6084359 41.748029),-87.6084359,41.748029,
Fragrance Island,641,E 79th St,,,,Chicago,,Active,Retail,Beauty-Accessory,No,2019,,773-488-2700,,POINT(-87.6084166 41.7510404),-87.6084166,41.7510404,
Framer Convenience Store,457,E 79th St,,,,Chicago,60619,Out of Business,Retail,Convenience,No,2019,,,,POINT(-87.612647 41.750898),-87.612647,41.750898,
Franklin's Barber Shop,517,E 79th St,,,,Chicago,60619,Out of Business,Personal Service,Beauty,No,2019,Gnrl Atmtve RPR Shp,773-224-6054,,POINT(-87.6118467 41.7510705),-87.6118467,41.7510705,
Freeman Jeweler's,111,W 87th St,,,,Chicago,,Active,Retail,Resale,No,2019,,312-834-0219,,POINT(-87.6274495 41.7346239),-87.6274495,41.7346239,
Fresh Mart Foods,400,E 83rd St,,,,Chicago,,Active,Retail,Large grocery,No,2019,Plbng Htng Air-Co,773-224-0300,,POINT(-87.6143568 41.7440904),-87.6143568,41.7440904,
G-squared General Contractors,7951,S St Lawrence Ave,,,,Chicago,60619,Out of Business,Trade Service,Building trades,Yes,2019,Lcl Trckg W/O Strge  Individual small company but works for another company,773-895-6966,,POINT(-87.6096726 41.7497667),-87.6096726,41.7497667,
Galilee Temple Ministries,8112,S Cottage Grove Ave,,,,Chicago,,Active,Religious (except school or residence),Church,No,2019,,,,POINT(-87.6054077 41.7470917),-87.6054077,41.7470917,
Games Plus +,8237,S Cottage Grove Ave,,,,Chicago,,Out of Business,Retail,Toys,No,2019,,773-455-5399,,POINT(-87.604638 41.74469),-87.604638,41.74469,
Gamestop,8546,S Cottage Grove Ave,,,,Chicago,,Active,Retail,Toys,No,2019,,773-723-1820,,POINT(-87.6055308 41.7389413),-87.6055308,41.7389413,
Garrett's Popcorn Shops,737,E 87th St,,,,Chicago,,Active,Dining,Cafe-Bakery-Specialty,No,2019,Misc Food Stores,773-855-8566,,POINT(-87.6056584 41.7364668),-87.6056584,41.7364668,
Gbm Enterprise,8532,S Calumet Ave,,,,Chicago,60619,Out of Business,Unknown,Unknown,Yes,2019,Delaware North owns the Sports Depot but isn't a separate business at this address  Misc Apprl Accy St,773-322-4955,,POINT(-87.6165746 41.7391418),-87.6165746,41.7391418,
Geez Auto Sports,8100,S Cottage Grove Ave,,,,Chicago,60619,Out of Business,Retail,Auto Supply,No,2019,Apartment Building Operators  Just regular apartment complex,773-846-2200,,POINT(-87.605562 41.7473281),-87.605562,41.7473281,
Genuine Dwellings,8235,S Perry Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,Yes,2019,Elmntry Scndry Scl,,,POINT(-87.6265916 41.7443916),-87.6265916,41.7443916,
Giant Leaps Learning Center,8855,S State St,,,,Chicago,,Active,Childcare and Schools,Kid Center,No,2019,,773-994-2080,,POINT(-87.623853 41.7329654),-87.623853,41.7329654,
Glory Temple Kingdom Ministries,235,E 79th St,,,,Chicago,,Active,Religious (except school or residence),Church,No,2019,,630-866-1770,,POINT(-87.6183495 41.7509691),-87.6183495,41.7509691,
GM Bank The People's Bank,8700,S Martin Luther King Dr,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Bank,No,2019,,773-224-2160,,POINT(-87.6148863 41.7363205),-87.6148863,41.7363205,
GNC,47,W 87th St,,,,Chicago,,Active,Retail,Drug,No,2019,No phone number,,,POINT(-87.6269665 41.7353719),-87.6269665,41.7353719,
God's Little Gifts Child Care,8001,S Yale Ave,,,,Chicago,60620,Out of Business,Childcare and Schools,Home daycare,Yes,2019,,,,POINT(-87.630351 41.7488994),-87.630351,41.7488994,
Gold Express Jewelers,120,W 87th St,Ste C2,,,Chicago,,Active,Retail,Beauty-Accessory,No,2019,,773-487-7798,,POINT(-87.6275487 41.7365295),-87.6275487,41.7365295,
Golden Quick Mart,605,E 79th St,,,,Chicago,60619,Out of Business,Retail,Small Grocery,Yes,2019,,,,POINT(-87.6093149 41.7508602),-87.6093149,41.7508602,
Government Federal Association,8033,S Perry Ave,,,,Chicago,,Unknown,Public Services,Government,Yes,2019,"Called, went to personal voicemail",773-441-2546,,POINT(-87.6266783 41.7480952),-87.6266783,41.7480952,
Grand Chinese Kitchen 2,100,W 87th St,Ste B1,,,Chicago,,Active,Dining,Fast Food,No,2019,Bus Consulting Nec,773-873-8282,,POINT(-87.6270117 41.7365184),-87.6270117,41.7365184,
Grant You Beauty,8436,S Indiana Ave,,,,Chicago,60619,Out of Business,Personal Service,Beauty,Yes,2019,Ofcs Hlth Prnrs Ne,773-494-3375,,POINT(-87.6198527 41.7406866),-87.6198527,41.7406866,
Great Choice,759,E 79th St,,,,Chicago,60619,Out of Business,Retail,Clothing,No,2019,Repair Services Nec,773-892-1192,,POINT(-87.6055832 41.7511366),-87.6055832,41.7511366,
Great Oaks,8429,S Indiana Ave,,,,Chicago,60619,Out of Business,Unknown,Unknown,Yes,2019,Natnl Commercial Banks,773-994-8719,,POINT(-87.61912 41.7410601),-87.61912,41.7410601,
Great Scott Fashions,8147,S Martin Luther King Dr,,,,Chicago,,Active,Retail,Clothing,Yes,2019,Eating Places,773-994-5326,,POINT(-87.6144408 41.7461105),-87.6144408,41.7461105,
Greater Omega M.B. Church,135,W 79th St,,,,Chicago,,Active,Religious (except school or residence),Church,No,2019,,773-488-6513,,POINT(-87.6284462 41.7506577),-87.6284462,41.7506577,
Greater Pleasant Valley Church of God and Christ,910,E 83rd St,,,,Chicago,,Active,Religious (except school or residence),Church,No,2019,Eating Places,773-891-3104,,POINT(-87.6017923 41.7442405),-87.6017923,41.7442405,www.ooo-bcs.org
Green Empowerment,8818,S Cottage Grove Ave,,,,Chicago,60619,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Lawyer's office,Yes,2019,,773-336-2181,,POINT(-87.6050895 41.7341452),-87.6050895,41.7341452,
Green Tea-365,8346,S Prairie Ave,,,,Chicago,60619,Out of Business,Unknown,Unknown,Yes,2019,Eating Places,773-505-7463,,POINT(-87.6182812 41.7423546),-87.6182812,41.7423546,
Grill 327,327,E 79th St,,,,Chicago,,Active,Dining,Fast Food,No,2019,Beauty Shops,,,POINT(-87.6169024 41.7507498),-87.6169024,41.7507498,
H&R Block,8615,S Cottage Grove Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,No,2019,Carpentry Work,773-783-0900,,POINT(-87.6044914 41.7379682),-87.6044914,41.7379682,
H&R Block,120,W 87th St,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,No,2019,Bus Consulting Nec,773-651-7990,,POINT(-87.6275487 41.7365295),-87.6275487,41.7365295,
H&R Block,437,E 79th St,,,,Chicago,60619,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,No,2019,,773-994-5909,,POINT(-87.6134697 41.7509508),-87.6134697,41.7509508,
Hair Plus Beauty Supply,820,E 87th St,,,,Chicago,,Active,Retail,Beauty-Accessory,Yes,2019,Constr Mtrls Nec,773-783-5178,,POINT(-87.6038951 41.7369758),-87.6038951,41.7369758,
Haire's Gulf Shrimp,8112,S Vincennes Ave,,,,Chicago,60620,Out of Business,Dining,Fast Food,No,2019,Eating Places,773-783-1818,,POINT(-87.6355462 41.746684),-87.6355462,41.746684,
Happy Food & Liquor,7901,S Cottage Grove Ave,,,,Chicago,,Active,Retail,Liquor,No,2019,,773-873-4300,,POINT(-87.6049634 41.7511184),-87.6049634,41.7511184,
Harmony Massage and Wellness,643,E 88th Pl,,,,Chicago,60619,Out of Business,Personal Service,Massage,Yes,2019,,,,POINT(-87.6078573 41.7336359),-87.6078573,41.7336359,
Harold's Chicken Shack,8653,S State St,,,,Chicago,,Active,Dining,Fast Food,No,2019,,773-874-8653,,POINT(-87.6239159 41.7367169),-87.6239159,41.7367169,
Harold's Chicken Shack,100,W 87th St,B-4,,,Chicago,,Active,Dining,Fast Food,No,2019,Plbng Htng Air-Co,773-224-3314,,POINT(-87.6270117 41.7365184),-87.6270117,41.7365184,
Hart's Barber Shop,8611,S Cottage Grove Ave,,,,Chicago,,Active,Personal Service,Beauty,No,2019,,773-783-9335,,POINT(-87.604479 41.738086),-87.604479,41.738086,
Hawkins Building,8356,S Wabash Ave,,,,Chicago,60619,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Property service office,Yes,2019,empty facebook page,773-783-1656,,POINT(-87.623233 41.742017),-87.623233,41.742017,
Hayes Home Day Care,707,E 93rd St,,,,Chicago,,Active,Childcare and Schools,Home daycare,Yes,2019,Svc Estblshmnt Eqpt,773-723-0628,,POINT(-87.606565 41.7255035),-87.606565,41.7255035,
Helping Hands Custom Child Care,8818,S Michigan Ave,,,,Chicago,,Unknown,Childcare and Schools,Home daycare,Yes,2019,Ofcs Clns Chrprctr,773-648-1402,,POINT(-87.6212411 41.7339517),-87.6212411,41.7339517,
Herring Transportation Group,8527,S Drexel Ave,,,,Chicago,60619,Out of Business,Unknown,Unknown,Yes,2019,US Postal Service,773-994-9011,,POINT(-87.6021863 41.7395431),-87.6021863,41.7395431,
Hi Beauty Supply,255,W 79th St,,,,Chicago,,Active,Retail,Beauty-Accessory,No,2019,Beauty Shops,773-488-8282,,POINT(-87.6316716 41.750549),-87.6316716,41.750549,
HIL Foundation,8941,S Cottage Grove Ave,,,,Chicago,60619,Out of Business,Social Services & Political Advocacy,Social service,Yes,2019,,,,POINT(-87.6042696 41.7318121),-87.6042696,41.7318121,
Hip Hop Nails,611,E 79th St,,,,Chicago,,Active,Personal Service,Beauty,No,2019,,,,POINT(-87.6094196 41.750828),-87.6094196,41.750828,
Holiness International,8040,S Langley Ave,,,,Chicago,60619,Out of Business,Unknown,Unknown,Yes,2019,Lawn Garden Services,773-224-4885,,POINT(-87.6078477 41.7482014),-87.6078477,41.7482014,
